,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,MOS
Original_balloons_view_3.avi,3,1,2,2,2,3,4,3,1,3,2,4,2,3,2,4,2,2,1,3,3,3,3,2.52173913
Original_balloons_view_3_blended.avi,3,5,4,3,2,3,3,4,2,2,3,4,2,3,3,4,3,2,3,4,2,2,5,3.086956522
C1_balloons_R25_view_3.avi,2,2,4,2,2,3,3,4,1,3,4,4,2,3,3,2,2,1,2,4,2,3,2,2.608695652
C1_balloons_R25_view_3_blended.avi,3,3,3,4,3,2,4,3,2,2,3,3,2,4,3,3,3,2,3,3,3,2,3,2.869565217
C1_balloons_R35_view_3.avi,2,1,2,3,2,3,3,2,2,2,2,2,1,3,1,2,1,1,1,2,2,2,1,1.869565217
C1_balloons_R35_view_3_blended.avi,4,1,3,4,2,4,3,4,1,3,3,1,1,2,2,4,3,2,2,3,2,2,3,2.565217391
C1_balloons_R47_view_3.avi,2,1,2,2,2,3,2,3,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,1.695652174
C1_balloons_R47_view_3_blended.avi,2,3,3,3,1,2,2,4,2,2,3,2,2,2,2,3,2,1,2,2,2,2,2,2.217391304
C2_balloons_R25_view_3.avi,2,3,3,3,4,3,3,5,1,3,3,3,2,3,3,4,3,1,2,3,2,3,3,2.826086957
C2_balloons_R25_view_3_blended.avi,3,4,4,2,3,3,5,4,2,3,4,2,2,3,3,3,3,2,4,4,3,3,5,3.217391304
C2_balloons_R35_view_3.avi,2,4,4,3,2,3,4,5,2,3,3,3,1,4,2,3,3,2,2,4,2,2,2,2.826086957
C2_balloons_R35_view_3_blended.avi,3,4,4,4,2,3,4,3,2,4,3,4,2,4,3,3,3,2,3,3,3,2,2,3.043478261
C2_balloons_R47_view_3.avi,2,1,3,2,1,2,2,3,2,2,2,2,1,2,2,2,2,2,1,3,2,2,2,1.956521739
C2_balloons_R47_view_3_blended.avi,2,4,3,4,1,3,2,2,1,2,2,3,2,3,2,4,3,2,2,2,3,3,2,2.47826087
C3_balloons_R34_view_3.avi,3,3,3,4,3,4,4,3,2,3,5,4,2,4,4,4,3,2,2,4,4,3,4,3.347826087
C3_balloons_R34_view_3_blended.avi,3,4,3,4,2,3,4,3,1,3,2,4,2,4,4,4,4,2,3,3,3,3,4,3.130434783
C3_balloons_R45_view_3.avi,2,3,3,4,3,3,4,4,1,3,3,3,1,4,3,4,2,2,2,2,2,2,2,2.695652174
C3_balloons_R45_view_3_blended.avi,3,3,3,4,2,2,4,3,1,3,4,4,3,3,3,3,3,2,2,3,3,2,3,2.869565217
C3_balloons_R50_view_3.avi,3,3,4,4,3,3,4,4,2,3,3,4,2,2,3,3,3,2,2,2,2,2,2,2.826086957
C3_balloons_R50_view_3_blended.avi,4,3,3,2,1,4,4,5,2,3,2,4,2,4,4,4,3,2,3,4,4,2,3,3.130434783
