,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,MOS
credits.yuv,5,4,5,3,4,4,5,5,4,3,5,5,5,5,5,5,4,5,5,5,5,4,3,5,4,5,5,4.518518519
credits-4M.yuv,2,2,4,3,3,1,2,3,2,2,4,2,2,3,3,3,1,3,3,5,4,2,2,2,3,3,2,2.62962963
credits-6M.yuv,3,3,4,4,3,2,4,4,2,3,5,3,2,4,4,3,2,3,5,5,4,3,2,2,4,3,5,3.37037037
credits-7M.yuv,3,5,4,5,4,4,3,4,3,3,5,3,5,4,5,3,2,4,4,3,5,4,4,3,3,4,4,3.814814815
credits-8M.yuv,3,5,4,4,4,3,4,4,2,3,4,4,3,5,5,4,2,4,5,4,3,4,3,4,4,3,5,3.777777778
credits-9M.yuv,4,4,5,4,5,4,3,5,3,4,4,2,4,5,5,4,3,5,4,4,4,4,5,3,3,4,4,4
credits-10M.yuv,5,5,5,4,5,5,4,5,4,4,4,4,3,5,5,3,3,5,5,4,5,4,5,4,4,3,5,4.333333333
credits-14M.yuv,5,4,5,4,4,3,5,5,3,4,5,4,5,5,5,4,4,5,5,5,5,4,5,4,4,5,5,4.481481481
golf.yuv,5,4,4,4,4,5,5,4,3,4,5,4,4,4,5,4,5,4,5,4,5,4,2,4,5,5,4,4.259259259
golf-1M.yuv,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,3,2,2,2,1,1,2,2,1,1.666666667
golf-1_5M.yuv,2,2,3,3,3,1,2,3,2,3,2,2,2,4,3,2,1,3,4,2,3,3,1,2,3,3,3,2.481481481
golf-2M.yuv,2,3,3,4,3,1,2,2,3,3,3,3,3,2,3,3,1,3,4,3,4,3,2,2,3,4,3,2.777777778
golf-2_5M.yuv,3,2,4,4,3,2,3,3,3,4,4,3,4,4,3,2,1,4,4,3,4,3,2,3,4,3,3,3.148148148
golf-3M.yuv,4,3,4,4,5,2,4,4,3,3,5,4,3,3,4,3,2,4,5,3,4,4,4,4,4,4,5,3.740740741
golf-4M.yuv,4,4,3,4,5,3,4,4,3,3,4,4,4,3,5,4,3,3,5,4,5,5,3,4,4,4,4,3.888888889
golf-6M.yuv,3,4,4,5,4,5,4,4,4,4,4,1,4,5,5,4,4,5,5,3,5,4,4,4,5,5,5,4.185185185
show.yuv,3,4,5,3,3,4,5,3,4,4,5,4,3,4,4,4,4,5,4,3,4,5,4,3,4,4,4,3.925925926
show410_2M.yuv,3,3,3,2,3,1,2,2,2,2,2,2,3,2,1,2,1,2,3,3,1,2,1,1,3,3,3,2.148148148
show410_3M.yuv,2,3,4,3,3,2,3,2,3,3,3,2,2,4,3,2,2,3,4,4,3,4,1,1,3,5,4,2.888888889
show410_4M.yuv,3,3,4,2,4,3,3,4,4,3,5,3,4,5,2,2,3,4,4,4,3,4,2,3,4,5,4,3.481481481
show410_8M.yuv,3,5,4,3,3,5,5,4,3,4,4,3,5,5,5,3,3,3,5,3,4,4,4,4,4,5,4,3.962962963
show410_10M.yuv,4,5,5,4,3,4,4,4,4,4,4,4,3,5,4,4,3,3,5,4,4,5,5,4,4,5,4,4.111111111
show410_14M.yuv,4,4,5,3,3,5,4,4,3,3,5,3,3,5,4,4,4,4,5,3,4,4,5,3,4,3,4,3.888888889
