,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,MOS
Fehn_c_Book_arrival_bh_8_to_10,2,1,2,3,3,2,2,4,2,1,1,2,2,2,2,1,3,2,2,2,3,1,2,3,3,3,4,2,2,3,2,2,2.21875
Fehn_c_Book_arrival_bh_10_to_8,2,2,2,3,3,3,2,3,4,1,1,2,2,3,3,1,4,1,3,2,2,2,1,1,3,3,2,2,1,2,1,2,2.15625
Fehn_c_Book_arrival_sh_8_to_9,4,2,4,4,3,4,4,5,3,2,3,4,4,4,3,2,4,4,4,3,4,3,4,1,4,4,4,3,3,4,2,3,3.40625
Fehn_c_Book_arrival_sh_10_to_9,4,4,3,3,3,5,4,5,5,2,2,4,3,3,3,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,3,3,3.5625
Fehn_i_Book_arrival_bh_8_to_10,3,3,2,2,2,1,1,3,3,1,1,2,2,2,1,1,3,1,2,2,2,2,1,4,3,3,2,2,2,3,1,2,2.03125
Fehn_i_Book_arrival_bh_10_to_8,3,1,3,2,2,2,2,3,3,1,1,2,2,2,2,1,3,1,2,3,2,2,3,3,2,2,2,2,1,1,1,2,2
Fehn_i_Book_arrival_sh_8_to_9,4,2,4,3,3,4,4,4,4,2,3,3,4,3,2,2,4,3,3,4,3,4,3,4,4,4,2,3,3,2,2,3,3.1875
Fehn_i_Book_arrival_sh_10_to_9,4,3,3,3,3,4,3,3,4,2,3,3,4,2,2,1,3,2,3,4,3,1,2,3,2,3,4,4,3,3,2,2,2.84375
Holes_Book_arrival_bh_8_to_10,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.125
Holes_Book_arrival_bh_10_to_8,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1.125
Holes_Book_arrival_sh_8_to_9,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,1.3125
Holes_Book_arrival_sh_10_to_9,1,1,2,1,1,2,1,2,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1.28125
ICIP_TMM_Book_arrival_bh_8_to_10,3,3,2,2,2,2,2,3,3,1,2,2,2,2,2,1,3,1,2,3,2,1,2,1,2,2,2,2,2,2,1,2,2
ICIP_TMM_Book_arrival_bh_10_to_8,2,2,2,2,1,2,2,3,3,1,2,2,2,2,2,1,3,1,2,3,2,2,1,1,2,2,2,2,2,1,1,2,1.875
ICIP_TMM_Book_arrival_sh_8_to_9,3,4,3,2,3,3,3,3,4,3,3,4,4,4,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,4,3.1875
ICIP_TMM_Book_arrival_sh_10_to_9,2,1,2,3,2,2,2,3,3,2,3,2,2,3,3,1,3,3,3,2,3,3,2,1,2,3,2,3,2,3,2,3,2.375
ICME_Book_arrival_bh_8_to_10,2,2,2,1,3,3,2,2,2,1,3,3,2,2,2,1,3,1,2,2,2,1,2,1,2,2,1,2,3,2,1,2,1.9375
ICME_Book_arrival_bh_10_to_8,2,1,1,2,1,3,1,3,1,1,2,1,2,1,1,1,3,1,3,3,2,2,2,2,2,2,1,2,1,1,1,2,1.6875
ICME_Book_arrival_sh_8_to_9,2,2,2,2,3,3,2,3,2,2,3,2,3,3,2,2,3,2,3,3,3,2,2,3,3,2,3,2,2,2,2,2,2.40625
ICME_Book_arrival_sh_10_to_9,3,2,2,3,1,2,2,3,3,1,3,3,3,2,2,2,3,2,2,3,3,2,2,1,3,3,2,2,2,3,2,3,2.34375
MPEG_VSRS_Book_arrival_bh_8_to_10,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,1,3,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,1.96875
MPEG_VSRS_Book_arrival_bh_10_to_8,2,2,2,2,2,2,2,3,2,1,2,2,2,3,2,1,3,1,2,2,2,2,2,1,2,2,3,2,2,2,1,2,1.96875
MPEG_VSRS_Book_arrival_sh_8_to_9,2,3,3,2,3,3,3,4,3,2,3,3,3,3,2,2,4,3,2,4,3,3,3,3,4,4,3,2,3,3,2,3,2.90625
MPEG_VSRS_Book_arrival_sh_10_to_9,2,2,3,3,3,2,2,3,3,2,3,4,3,2,2,1,4,3,3,2,3,3,2,1,2,3,3,2,2,2,1,3,2.46875
Muller_Book_arrival_bh_8_to_10,2,2,2,2,2,2,2,3,1,1,2,1,2,3,1,1,3,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1.84375
Muller_Book_arrival_bh_10_to_8,3,2,2,2,2,2,1,3,2,1,3,2,2,2,2,1,3,1,2,2,2,3,1,1,2,2,2,2,1,1,1,2,1.875
Muller_Book_arrival_sh_8_to_9,3,3,2,2,3,2,2,3,2,2,3,2,4,2,2,1,3,1,3,3,3,2,2,3,2,3,3,3,3,2,2,2,2.4375
Muller_Book_arrival_sh_10_to_9,2,2,3,3,2,3,2,3,3,1,2,2,3,3,2,1,3,1,2,2,2,3,2,3,2,3,2,2,2,1,2,3,2.25
book_arrival_cam_08,3,3,4,3,5,5,3,5,5,2,4,3,5,2,3,4,4,4,5,5,4,5,3,5,4,4,4,4,4,5,3,5,3.96875
book_arrival_cam_09,4,3,4,3,4,5,3,5,5,2,4,4,4,3,4,5,5,4,5,4,5,3,4,5,4,5,5,4,4,3,2,4,4
book_arrival_cam_10,4,4,4,2,5,4,4,4,5,1,4,5,5,5,4,5,4,5,5,5,5,4,3,4,5,5,5,5,5,4,3,5,4.28125
book_arrival_cam_08_qp26,5,3,3,3,5,4,4,4,5,2,4,4,3,4,4,5,5,4,5,4,4,4,4,4,4,3,3,4,4,4,3,4,3.90625
book_arrival_cam_08_qp34,1,4,4,2,3,4,3,3,4,1,3,4,3,3,2,3,4,3,4,3,4,3,3,3,4,2,1,3,4,3,2,3,3
book_arrival_cam_08_qp44,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.0625
Fehn_c_Lovebird1_bh_6_to_8,1,1,2,2,3,1,1,3,2,1,1,2,2,2,2,2,3,1,2,2,2,2,3,3,2,2,1,2,2,1,1,2,1.84375
Fehn_c_Lovebird1_bh_8_to_6,2,1,2,3,3,2,1,3,1,1,2,1,2,2,2,1,4,1,3,1,2,2,2,1,2,2,2,3,3,2,1,2,1.9375
Fehn_c_Lovebird1_sh_6_to_7,2,3,2,3,3,3,2,4,4,2,2,4,3,3,3,2,4,1,4,3,3,3,3,3,4,2,3,3,3,3,2,4,2.90625
Fehn_c_Lovebird1_sh_8_to_7,2,3,3,3,3,2,2,4,4,1,2,4,3,3,4,3,4,2,4,3,3,3,3,4,2,2,2,2,3,2,2,2,2.78125
Fehn_i_Lovebird1_bh_6_to_8,1,1,1,2,2,2,1,3,1,1,1,2,2,2,2,1,3,1,3,2,3,2,2,3,2,3,2,2,2,2,1,2,1.875
Fehn_i_Lovebird1_bh_8_to_6,2,1,3,1,2,2,2,2,3,1,1,2,2,2,2,2,4,1,3,2,2,2,2,1,2,2,2,2,2,2,1,3,1.96875
Fehn_i_Lovebird1_sh_6_to_7,2,3,3,2,3,3,2,4,3,1,3,3,3,3,3,3,4,3,3,2,3,2,3,3,3,2,2,4,3,2,2,3,2.75
Fehn_i_Lovebird1_sh_8_to_7,2,4,2,3,3,2,2,4,3,1,2,2,3,3,3,3,4,1,4,2,3,4,2,3,3,4,2,3,3,2,2,3,2.71875
Holes_Lovebird1_bh_6_to_8,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1.28125
Holes_Lovebird1_bh_8_to_6,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1.25
Holes_Lovebird1_sh_6_to_7,1,2,1,2,1,2,1,2,2,1,1,3,1,2,3,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1.6875
Holes_Lovebird1_sh_8_to_7,1,2,1,2,1,2,1,2,2,1,1,2,3,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,1.5
ICIP_TMM_Lovebird1_bh_6_to_8,2,2,2,2,2,1,1,3,2,1,2,2,2,3,2,2,3,1,3,2,2,1,2,1,2,2,1,3,2,2,2,3,1.96875
ICIP_TMM_Lovebird1_bh_8_to_6,2,2,1,2,2,2,2,3,2,1,1,2,2,2,3,1,3,1,2,2,3,1,2,1,2,2,2,2,2,2,1,3,1.90625
ICIP_TMM_Lovebird1_sh_6_to_7,2,2,2,3,3,2,2,4,2,1,3,3,2,2,3,1,3,1,2,2,3,2,3,1,2,3,2,3,3,3,2,3,2.34375
ICIP_TMM_Lovebird1_sh_8_to_7,2,2,2,2,3,3,2,3,2,2,1,3,3,2,3,1,3,1,4,2,3,2,3,1,2,2,2,2,3,2,2,3,2.28125
ICME_Lovebird1_bh_6_to_8,2,2,2,2,3,2,1,3,2,1,2,2,2,2,3,1,3,1,2,2,2,1,2,1,2,2,1,2,3,2,1,2,1.90625
ICME_Lovebird1_bh_8_to_6,2,1,2,2,2,2,1,3,1,2,2,2,3,2,2,1,3,1,2,2,3,2,2,1,2,2,2,2,2,2,1,2,1.90625
ICME_Lovebird1_sh_6_to_7,1,1,2,2,2,2,2,3,2,1,2,3,3,2,3,2,3,2,3,2,3,1,2,3,2,3,2,2,4,2,1,3,2.21875
ICME_Lovebird1_sh_8_to_7,1,2,2,2,3,3,2,3,2,1,2,2,3,2,2,1,3,2,3,2,3,1,3,1,3,2,1,2,2,2,1,2,2.0625
MPEG_VSRS_Lovebird1_bh_6_to_8,2,1,2,2,2,2,1,3,2,1,1,2,2,1,2,2,3,2,3,2,2,1,2,1,2,2,2,2,2,1,2,2,1.84375
MPEG_VSRS_Lovebird1_bh_8_to_6,2,1,1,2,2,2,1,3,1,1,2,1,2,2,3,2,3,1,2,2,2,1,3,1,2,2,1,2,2,2,1,3,1.8125
MPEG_VSRS_Lovebird1_sh_6_to_7,2,2,2,2,3,2,1,3,3,1,2,3,2,3,3,2,3,1,3,2,3,2,2,1,2,2,2,2,2,2,1,3,2.15625
MPEG_VSRS_Lovebird1_sh_8_to_7,2,2,2,2,3,3,2,3,2,1,3,3,3,3,3,1,3,3,3,2,3,1,3,1,2,2,3,2,3,2,1,2,2.3125
Muller_Lovebird1_bh_6_to_8,2,2,1,2,3,2,1,3,2,1,1,2,2,3,2,1,3,1,2,2,2,2,2,1,2,2,1,2,1,2,1,3,1.84375
Muller_Lovebird1_bh_8_to_6,2,1,1,2,3,3,2,3,1,1,2,2,3,3,2,1,3,1,3,2,2,2,2,3,2,2,2,2,1,2,1,3,2.03125
Muller_Lovebird1_sh_6_to_7,2,2,2,2,2,2,2,3,3,1,2,3,2,2,3,2,3,2,2,2,3,1,2,1,2,3,2,3,2,2,1,3,2.15625
Muller_Lovebird1_sh_8_to_7,2,2,2,2,2,3,2,3,2,1,2,2,3,2,2,2,3,2,3,2,2,1,2,1,2,2,2,2,3,3,1,2,2.09375
lovebird_cam_06,2,5,4,4,4,3,3,5,2,2,3,5,4,5,4,5,5,3,4,4,5,4,4,5,5,3,5,4,5,3,2,4,3.90625
lovebird_cam_07,2,4,4,5,4,4,4,5,5,3,4,4,4,4,4,5,4,5,5,4,4,5,4,5,5,4,4,5,4,5,3,5,4.25
lovebird_cam_08,3,5,4,4,5,4,4,4,4,2,3,4,4,4,4,5,5,4,5,3,5,4,4,4,5,3,5,3,5,4,2,4,4
lovebird_cam_06_qp26,1,3,5,4,3,4,3,4,1,2,3,3,3,4,4,4,5,3,5,3,4,4,4,4,3,3,3,4,5,3,2,4,3.4375
lovebird_cam_06_qp34,1,2,3,2,2,1,1,2,2,1,3,3,2,3,3,2,3,1,2,2,3,2,3,3,5,1,2,3,4,2,1,3,2.28125
lovebird_cam_06_qp44,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.09375
Fehn_c_Newspaper_bh_4_to_6,1,4,3,4,2,3,2,4,2,2,2,1,3,3,2,1,4,1,3,2,3,3,3,3,3,3,3,2,2,3,2,2,2.53125
Fehn_c_Newspaper_bh_6_to_4,2,2,2,2,1,2,1,3,1,1,2,2,2,3,3,1,2,1,2,3,3,3,2,1,3,2,2,3,1,3,1,1,1.96875
Fehn_c_Newspaper_sh_4_to_5,3,4,3,4,4,5,4,5,4,2,3,4,4,5,2,1,4,3,5,4,5,4,5,5,3,3,4,4,4,3,3,4,3.75
Fehn_c_Newspaper_sh_6_to_5,2,4,5,3,2,3,4,5,3,1,3,3,3,4,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,4,2,5,3.3125
Fehn_i_Newspaper_bh_4_to_6,4,3,2,2,1,3,1,3,2,1,2,1,2,2,2,1,3,1,3,3,2,2,2,3,2,3,2,2,1,2,1,3,2.09375
Fehn_i_Newspaper_bh_6_to_4,2,2,1,2,2,1,1,3,2,1,3,2,3,2,2,1,3,1,2,2,3,2,2,1,2,2,2,2,2,2,1,3,1.9375
Fehn_i_Newspaper_sh_4_to_5,2,3,3,3,2,4,2,3,3,2,3,4,4,4,2,1,3,3,5,3,2,3,3,3,2,3,3,3,3,3,1,3,2.84375
Fehn_i_Newspaper_sh_6_to_5,3,3,2,2,2,3,2,4,3,2,3,4,3,3,3,1,4,1,3,3,3,2,3,3,2,4,3,3,3,2,1,3,2.6875
Holes_Newspaper_bh_4_to_6,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.15625
Holes_Newspaper_bh_6_to_4,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1.15625
Holes_Newspaper_sh_4_to_5,1,1,1,1,1,2,1,2,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.1875
Holes_Newspaper_sh_6_to_5,1,1,2,2,1,1,1,1,1,1,1,3,1,2,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1.28125
ICIP_TMM_Newspaper_bh_4_to_6,1,1,2,2,1,2,1,2,1,1,1,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1.4375
ICIP_TMM_Newspaper_bh_6_to_4,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,3,1,1,2,2,2,1,1,2,2,1,2,1,1,1,2,1.59375
ICIP_TMM_Newspaper_sh_4_to_5,2,2,3,3,2,2,2,3,3,1,2,2,2,2,2,2,4,2,4,2,2,2,3,3,2,2,2,2,3,2,1,3,2.3125
ICIP_TMM_Newspaper_sh_6_to_5,2,2,2,2,2,3,2,3,3,2,3,3,3,2,2,1,3,2,3,3,2,2,3,1,2,3,2,2,2,3,1,2,2.28125
ICME_Newspaper_bh_4_to_6,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1.40625
ICME_Newspaper_bh_6_to_4,2,1,2,2,2,1,1,3,1,1,2,2,2,3,1,1,2,2,1,1,2,2,1,3,1,2,1,2,2,2,1,2,1.6875
ICME_Newspaper_sh_4_to_5,2,2,1,2,1,3,2,3,3,2,2,3,3,3,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,1.9375
ICME_Newspaper_sh_6_to_5,2,2,2,3,1,3,2,3,2,1,2,3,3,3,2,1,2,1,3,2,2,1,2,3,2,2,1,3,2,2,1,2,2.0625
MPEG_VSRS_Newspaper_bh_4_to_6,2,1,1,2,1,2,1,3,1,1,1,2,2,1,1,1,3,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1.5625
MPEG_VSRS_Newspaper_bh_6_to_4,2,2,2,2,1,2,1,3,2,1,2,3,2,2,1,1,3,1,2,2,2,3,1,1,2,2,3,2,1,3,1,2,1.875
MPEG_VSRS_Newspaper_sh_4_to_5,3,3,2,3,2,3,2,3,2,2,3,3,3,3,2,1,3,1,2,3,2,2,3,1,2,3,2,3,2,2,1,2,2.3125
MPEG_VSRS_Newspaper_sh_6_to_5,2,3,2,2,4,3,2,3,3,2,3,3,3,3,3,1,3,3,3,3,2,1,4,1,2,3,2,3,2,2,1,3,2.5
Muller_Newspaper_bh_4_to_6,2,1,1,3,1,2,1,3,1,1,1,2,2,1,2,1,3,1,1,2,2,2,2,1,2,2,1,2,1,2,1,2,1.625
Muller_Newspaper_bh_6_to_4,2,2,2,2,1,3,1,3,1,1,2,2,3,2,1,1,3,1,1,2,2,1,2,1,2,2,1,2,2,2,1,2,1.75
Muller_Newspaper_sh_4_to_5,2,2,2,2,2,3,2,3,2,2,3,2,3,3,2,1,3,2,2,3,3,3,2,1,2,2,2,2,2,3,1,2,2.21875
Muller_Newspaper_sh_6_to_5,2,2,3,2,2,3,2,3,2,2,3,3,3,3,2,1,3,2,3,2,3,2,3,3,2,2,1,2,2,3,1,3,2.34375
newspaper_cam_04,4,5,4,4,5,5,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,3,5,4.65625
newspaper_cam_05,4,4,5,5,4,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,5,4.59375
newspaper_cam_06,4,5,4,4,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4.75
newspaper_cam_04_qp26,3,5,5,4,4,5,3,5,5,3,4,4,4,3,5,5,5,5,5,4,5,5,4,4,5,5,3,5,5,5,3,4,4.34375
newspaper_cam_04_qp34,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,4,4,2,2,3,3,3,4,4,3,3,3,3,4,3,1,4,3.09375
newspaper_cam_04_qp44,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1.21875
