,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,MOS
src01_hrc00.avi,8,7,10,8,9,10,5,10,8,8,8,8,10,9,8,9,8,9,9,8,5,9,9,5,7,8.16
src01_hrc01.avi,1,4,0,3,1,1,4,1,2,0,2,1,2,2,7,2,4,0,3,3,3,2,2,4,1,2.2
src01_hrc02.avi,1,1,1,2,1,0,2,3,1,1,0,2,2,1,1,0,2,0,4,1,2,3,1,4,2,1.52
src01_hrc03.avi,2,3,1,4,3,1,5,5,3,1,1,2,3,2,1,2,3,1,5,4,3,3,3,4,1,2.64
src01_hrc04.avi,3,3,1,4,2,2,3,3,1,1,1,1,3,5,3,3,5,2,5,3,2,4,3,5,0,2.72
src01_hrc05.avi,3,3,2,4,2,3,5,2,3,0,0,2,2,1,0,1,3,0,5,2,3,3,2,4,1,2.24
src01_hrc06.avi,2,3,0,2,1,2,8,3,1,0,0,2,4,2,2,1,2,1,4,3,3,5,3,3,0,2.28
src01_hrc07.avi,1,4,1,3,2,2,2,4,1,1,1,0,2,1,1,2,5,1,4,3,1,4,3,4,2,2.2
src01_hrc08.avi,1,3,1,2,3,1,3,2,3,0,1,1,2,2,4,2,2,2,4,3,3,3,1,3,0,2.08
src01_hrc09.avi,1,1,1,3,1,0,3,1,1,0,1,0,4,1,2,2,2,0,4,2,3,2,1,3,0,1.56
src01_hrc10.avi,1,1,0,3,1,0,6,2,1,0,0,0,3,1,2,0,5,2,4,2,3,4,1,1,1,1.76
src01_hrc11.avi,3,3,4,4,3,4,7,7,4,1,1,3,9,6,2,4,5,3,5,3,3,5,4,5,5,4.12
src01_hrc12.avi,4,4,2,4,3,5,6,7,2,3,3,2,5,5,4,5,6,5,7,8,5,5,4,5,4,4.52
src01_hrc13.avi,5,6,5,5,4,6,5,6,5,4,4,2,7,7,5,5,6,7,5,6,5,6,7,7,4,5.36
src01_hrc14.avi,6,4,5,6,6,7,7,8,4,3,7,3,7,6,5,5,6,7,6,7,5,7,7,6,5,5.8
src01_hrc15.avi,5,4,4,3,4,7,5,5,4,1,3,3,7,4,3,5,5,4,7,6,5,5,5,8,3,4.6
src01_hrc16.avi,5,5,2,4,4,4,5,7,4,1,6,3,7,3,4,4,4,4,5,6,4,4,5,5,2,4.28
src01_hrc17.avi,6,5,5,4,6,4,6,7,3,1,3,3,7,5,4,5,5,4,7,6,4,4,7,7,4,4.88
src01_hrc18.avi,6,4,2,4,7,6,6,4,5,1,3,3,7,6,4,5,4,4,6,5,3,6,7,6,4,4.72
src01_hrc19.avi,3,3,1,3,3,1,4,3,2,0,1,0,5,3,3,3,6,1,6,3,3,2,3,2,1,2.6
src01_hrc20.avi,3,1,3,3,3,3,4,1,3,0,2,0,4,3,3,4,5,4,7,2,4,4,5,4,2,3.08
src01_hrc21.avi,8,5,7,6,5,9,8,9,5,4,7,6,9,7,6,4,5,7,7,6,6,9,6,5,6,6.48
src01_hrc22.avi,6,4,6,4,3,5,7,4,5,4,8,3,8,7,5,5,6,8,6,6,6,8,5,6,4,5.56
src01_hrc23.avi,8,6,7,6,6,7,8,9,5,3,6,4,8,6,5,7,7,8,8,8,6,7,8,7,6,6.64
src01_hrc24.avi,8,5,7,6,5,7,7,7,6,4,6,4,8,9,5,5,6,4,7,7,6,8,8,7,5,6.28
src01_hrc25.avi,8,4,7,5,5,6,4,8,4,2,6,4,8,7,4,8,6,5,7,5,5,8,5,7,6,5.76
src01_hrc26.avi,8,4,7,6,3,8,7,8,3,3,7,4,8,6,5,5,6,3,6,6,6,4,6,8,5,5.68
src01_hrc27.avi,7,5,6,7,6,5,8,9,5,5,8,3,8,8,7,5,5,4,8,8,5,8,8,5,5,6.32
src01_hrc28.avi,7,6,8,6,7,6,7,7,4,2,4,5,7,8,3,6,7,5,7,7,6,8,7,8,4,6.08
src02_hrc00.avi,9,8,10,10,9,10,9,10,8,7,9,8,8,10,9,9,7,10,8,8,8,8,8,8,8,8.64
src02_hrc01.avi,1,3,0,3,2,2,2,2,2,0,0,0,1,1,2,2,3,2,3,2,2,3,1,5,0,1.76
src02_hrc02.avi,1,0,0,2,1,1,3,2,3,0,1,1,1,2,1,0,3,0,2,1,2,3,1,4,0,1.4
src02_hrc03.avi,4,3,2,3,3,3,4,5,4,1,2,3,6,6,1,3,6,3,6,4,3,3,2,3,3,3.44
src02_hrc04.avi,4,4,3,4,2,5,4,6,4,1,3,1,4,4,5,4,5,1,5,3,2,4,3,5,3,3.56
src02_hrc05.avi,1,1,0,2,1,3,3,1,2,0,0,2,2,1,3,0,4,0,3,2,2,2,1,3,1,1.6
src02_hrc06.avi,3,4,1,3,1,4,4,1,2,0,1,0,3,2,2,0,3,0,3,2,2,3,1,3,2,2
src02_hrc07.avi,2,2,3,3,3,2,6,2,3,1,1,1,4,2,2,3,5,1,5,3,3,3,2,6,3,2.84
src02_hrc08.avi,3,2,2,3,3,3,2,3,3,1,2,4,3,7,3,4,5,0,5,4,1,3,3,7,3,3.16
src02_hrc09.avi,0,1,3,3,1,1,3,1,1,0,1,0,2,0,2,0,1,0,4,1,1,1,0,2,0,1.16
src02_hrc10.avi,0,0,0,1,1,1,3,1,1,0,0,0,2,1,1,0,3,0,3,1,1,1,0,3,1,1
src02_hrc11.avi,7,5,9,5,3,9,8,8,6,4,7,4,9,8,7,7,6,5,7,7,4,8,7,8,4,6.48
src02_hrc12.avi,3,5,6,4,3,6,6,6,3,4,5,5,7,7,4,4,6,2,6,6,4,6,4,6,3,4.84
src02_hrc13.avi,6,5,2,5,3,7,6,7,4,3,8,4,8,8,7,4,7,5,7,8,4,9,8,8,4,5.88
src02_hrc14.avi,8,7,8,6,6,7,8,7,7,4,7,6,7,8,7,8,6,10,8,7,5,8,8,8,4,7
src02_hrc15.avi,3,4,2,4,3,4,6,7,4,3,4,4,7,7,5,4,6,4,7,3,4,6,4,6,3,4.56
src02_hrc16.avi,4,6,3,4,3,6,7,5,3,5,4,3,8,6,4,7,6,5,7,3,6,5,3,5,3,4.84
src02_hrc17.avi,5,5,6,6,4,6,6,8,4,3,4,6,7,9,5,7,6,3,7,7,7,8,6,7,4,5.84
src02_hrc18.avi,8,5,8,6,4,6,7,7,5,3,7,9,8,9,6,6,6,2,8,8,5,6,7,7,5,6.32
src02_hrc19.avi,1,2,0,2,2,0,3,2,1,0,3,0,3,3,2,2,4,4,5,3,3,3,1,3,1,2.12
src02_hrc20.avi,5,1,1,3,3,0,5,1,3,0,1,2,4,4,3,2,5,0,5,2,1,3,2,3,2,2.44
src02_hrc21.avi,8,7,10,6,6,7,9,10,7,7,6,9,8,10,7,8,7,7,8,7,6,8,8,8,4,7.52
src02_hrc22.avi,8,6,8,5,4,6,7,8,7,4,7,4,7,8,8,7,6,8,7,6,7,9,6,7,6,6.64
src02_hrc23.avi,8,6,9,6,7,7,8,10,5,4,7,8,9,8,7,8,6,7,8,8,5,8,7,8,6,7.2
src02_hrc24.avi,8,8,8,7,7,6,7,10,7,8,8,7,8,9,5,7,8,9,8,7,7,6,7,7,7,7.44
src02_hrc25.avi,6,7,9,5,6,8,9,9,4,2,7,7,7,7,6,7,7,6,7,6,7,6,9,7,4,6.6
src02_hrc26.avi,8,8,8,6,5,7,8,8,5,5,4,7,7,9,7,5,7,6,6,7,6,8,7,6,4,6.56
src02_hrc27.avi,8,8,10,7,6,7,9,9,5,4,8,7,9,8,5,8,8,7,8,7,5,8,8,8,6,7.32
src02_hrc28.avi,9,7,10,7,7,8,9,10,6,6,9,9,9,10,6,9,6,7,8,8,5,9,8,7,5,7.76
src05_hrc00.avi,9,4,10,8,4,10,9,10,5,5,7,8,8,9,8,10,7,9,7,7,9,9,7,8,4,7.64
src05_hrc01.avi,7,5,10,4,7,8,9,10,8,6,9,5,8,9,7,7,8,9,9,6,7,9,8,6,6,7.48
src05_hrc02.avi,6,4,7,7,5,8,8,7,4,5,6,6,9,8,7,6,6,7,7,6,6,8,7,6,5,6.44
src05_hrc03.avi,7,5,10,7,5,6,7,9,6,7,7,6,7,8,7,7,6,5,8,6,6,8,8,8,5,6.84
src05_hrc04.avi,7,8,8,7,5,7,9,9,7,6,7,7,8,8,8,5,8,5,8,8,7,8,7,8,4,7.16
src05_hrc05.avi,6,5,8,6,5,7,6,8,5,4,7,5,7,7,6,6,6,4,8,7,4,9,7,7,5,6.2
src05_hrc06.avi,8,4,5,7,4,8,9,8,4,6,4,7,6,7,7,6,7,5,8,6,6,6,7,7,6,6.32
src05_hrc07.avi,8,7,8,7,7,10,9,8,7,6,4,9,5,8,7,8,7,7,9,6,7,6,7,7,7,7.24
src05_hrc08.avi,9,9,9,6,6,9,9,10,6,5,7,9,8,9,7,7,7,7,9,7,7,8,7,7,7,7.64
src05_hrc09.avi,4,2,1,2,2,1,4,3,1,0,1,1,3,1,1,0,3,2,6,4,2,3,2,3,1,2.12
src05_hrc10.avi,4,1,4,4,3,0,6,6,1,0,1,1,2,2,0,1,6,0,6,1,3,3,2,3,2,2.48
src05_hrc11.avi,9,7,10,8,8,9,9,10,7,6,8,7,8,9,7,9,8,9,8,8,4,7,7,7,7,7.84
src05_hrc12.avi,8,5,9,7,7,9,8,9,5,8,5,9,7,8,7,8,6,9,8,7,4,7,7,8,6,7.24
src05_hrc13.avi,7,6,8,6,7,8,9,8,5,6,6,8,8,7,8,5,7,6,9,7,5,8,7,7,6,6.96
src05_hrc14.avi,8,6,9,7,6,8,9,9,4,7,6,8,7,8,7,9,8,8,9,8,5,6,7,8,5,7.28
src05_hrc15.avi,7,7,6,7,7,6,9,8,6,5,8,8,9,6,8,7,8,5,8,7,4,9,6,5,6,6.88
src05_hrc16.avi,8,5,10,6,7,9,8,8,5,7,6,5,8,9,7,6,6,4,8,8,4,9,7,5,6,6.84
src05_hrc17.avi,8,7,10,7,6,9,8,9,5,8,6,7,7,8,7,5,7,7,9,7,4,8,7,8,6,7.2
src05_hrc18.avi,9,7,9,7,5,8,9,9,6,7,9,6,8,8,6,7,7,7,9,8,5,7,7,7,7,7.36
src05_hrc19.avi,3,2,1,4,2,0,5,2,1,0,3,2,6,3,3,3,5,1,6,1,2,3,3,1,2,2.56
src05_hrc20.avi,3,3,2,4,2,1,6,4,2,0,2,1,2,3,3,1,5,1,6,4,2,4,3,2,1,2.68
src05_hrc21.avi,9,5,9,8,8,10,9,10,4,8,9,8,7,9,7,8,7,10,8,8,7,7,7,7,8,7.88
src05_hrc22.avi,8,5,10,8,7,9,7,9,5,4,7,9,7,8,8,7,7,5,8,6,6,6,8,7,5,7.04
src05_hrc23.avi,8,4,7,6,5,8,8,8,4,4,6,9,7,7,7,5,6,5,8,7,5,7,9,7,6,6.52
src05_hrc24.avi,8,8,8,7,6,8,8,10,7,7,8,6,7,8,8,7,7,10,8,7,7,9,8,6,5,7.52
src05_hrc25.avi,7,5,8,7,6,7,9,8,6,6,6,6,8,8,8,8,7,6,7,7,5,8,7,7,5,6.88
src05_hrc26.avi,7,7,7,7,7,8,9,9,5,7,7,9,8,9,8,8,7,5,8,7,5,6,7,7,6,7.2
src05_hrc27.avi,7,5,9,7,5,8,9,10,7,7,5,8,7,8,8,8,6,5,8,7,7,6,7,8,6,7.12
src05_hrc28.avi,8,5,9,7,7,9,8,10,7,7,8,5,7,9,7,9,7,5,9,8,6,9,7,7,7,7.48
