,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,MOS
src01_hrc00.avi               ,5,2,5,5,4,5,5,5,5,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4.586206897
src01_hrc03.avi               ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1.103448276
src01_hrc08.avi               ,1,1,1,1,2,2,1,1,3,1,1,1,1,2,1,2,2,1,2,1,2,1,2,2,3,2,2,2,1,1.551724138
src01_hrc09.avi               ,3,3,3,2,3,3,3,2,3,3,2,3,2,3,2,3,3,2,3,2,2,3,2,4,4,3,2,3,2,2.689655172
src01_hrc15.avi               ,5,5,5,4,4,5,4,4,4,5,5,3,3,5,3,3,3,5,4,4,5,4,4,3,4,4,3,4,3,4.034482759
src02_hrc00.avi               ,4,5,5,4,5,5,3,4,5,5,5,5,4,5,5,4,5,4,5,4,5,5,4,4,5,4,5,4,4,4.517241379
src02_hrc02.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1.137931034
src02_hrc08.avi               ,3,3,3,2,3,3,2,2,3,2,1,4,2,2,4,3,3,2,3,2,1,2,3,2,4,2,3,3,2,2.551724138
src02_hrc10.avi               ,5,3,4,3,4,5,4,4,5,4,3,4,4,4,5,5,5,3,4,4,4,4,5,3,5,4,5,4,3,4.103448276
src02_hrc18.avi               ,4,3,4,2,3,4,3,3,4,3,3,4,3,3,4,4,2,4,4,3,3,3,4,4,4,4,4,3,3,3.413793103
src03_hrc00.avi               ,5,3,4,5,3,4,4,3,4,4,4,4,4,5,4,4,5,5,5,4,5,5,4,4,5,4,5,4,4,4.24137931
src03_hrc04.avi               ,3,3,3,1,2,2,2,2,2,2,1,2,1,2,2,3,3,1,3,2,1,2,2,2,3,2,3,2,2,2.103448276
src03_hrc06.avi               ,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,2,1,1.275862069
src03_hrc15.avi               ,4,4,4,5,3,5,3,3,4,4,3,4,4,4,5,4,5,4,4,4,4,4,5,3,4,4,4,4,4,4
src03_hrc17.avi               ,4,4,3,1,3,4,3,2,4,4,3,2,3,5,4,4,4,3,4,3,5,4,3,4,4,4,4,3,3,3.482758621
src04_hrc00.avi               ,5,5,5,3,4,5,4,4,5,4,5,4,4,5,3,5,5,4,5,4,4,4,4,4,5,4,4,4,3,4.275862069
src04_hrc06.avi               ,2,1,1,1,1,1,1,1,3,3,1,1,1,2,1,1,2,1,1,1,1,1,1,2,3,1,1,2,1,1.379310345
src04_hrc15.avi               ,5,3,4,3,3,5,4,4,4,4,5,4,3,5,4,4,5,3,4,4,5,5,3,5,4,3,5,4,4,4.068965517
src04_hrc16.avi               ,3,2,2,2,3,3,2,2,2,3,2,2,2,3,2,3,3,2,2,2,2,3,2,3,3,2,3,3,3,2.448275862
src04_hrc18.avi               ,4,4,3,2,3,4,4,3,3,3,3,2,2,4,3,4,4,2,4,3,4,3,3,5,4,3,3,3,4,3.310344828
src05_hrc00.avi               ,5,3,5,4,4,4,4,3,5,4,4,3,4,3,5,5,4,4,5,4,3,5,4,5,5,4,3,4,4,4.103448276
src05_hrc06.avi               ,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1.103448276
src05_hrc14.avi               ,2,1,2,2,3,1,1,1,3,2,1,1,1,3,1,4,1,1,2,2,1,1,2,2,3,2,2,2,2,1.793103448
src05_hrc15.avi               ,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,2,3,5,3,2,4,3,5,4,4,4,4,3,3.689655172
src05_hrc17.avi               ,3,2,3,2,3,3,3,2,4,3,3,2,2,3,2,4,3,2,4,2,2,3,3,3,4,3,3,3,3,2.827586207
src06_hrc00.avi               ,5,4,5,5,5,5,5,3,5,4,1,5,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,4.586206897
src06_hrc03.avi               ,3,4,3,1,1,1,1,2,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,3,4,1,2,1,1,1.586206897
src06_hrc08.avi               ,3,4,2,2,3,2,2,3,3,2,3,3,2,4,4,5,5,2,3,2,1,3,2,3,4,2,4,3,2,2.862068966
src06_hrc15.avi               ,5,4,4,4,5,5,5,4,5,4,4,4,4,5,4,5,5,4,5,4,5,5,4,4,5,4,3,4,4,4.379310345
src06_hrc18.avi               ,5,4,4,5,4,4,2,3,4,4,1,4,4,3,4,5,5,3,4,3,2,3,3,4,4,3,4,4,2,3.586206897
src07_hrc00.avi               ,5,5,5,5,3,5,5,3,5,5,3,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,4.655172414
src07_hrc06.avi               ,2,1,2,1,2,2,2,1,2,2,1,2,1,3,1,2,2,1,2,2,2,2,1,4,3,2,2,2,2,1.862068966
src07_hrc08.avi               ,3,2,3,1,3,2,3,2,3,2,1,1,2,3,2,3,4,2,3,2,3,3,3,4,4,2,3,2,2,2.517241379
src07_hrc18.avi               ,4,5,4,5,3,4,4,4,3,3,4,4,3,4,5,4,4,4,3,3,3,4,3,4,5,4,4,3,3,3.793103448
src07_hrc19.avi               ,5,4,4,4,4,5,4,5,5,5,2,5,5,5,5,5,4,4,5,4,5,5,4,4,5,5,4,4,4,4.448275862
src08_hrc00.avi               ,5,5,5,4,4,5,4,4,5,5,4,4,4,4,5,5,5,5,5,4,4,3,5,4,5,5,4,4,3,4.413793103
src08_hrc03.avi               ,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1.275862069
src08_hrc15.avi               ,5,4,5,4,3,4,4,3,4,4,4,4,5,4,4,4,4,4,4,3,2,4,3,3,4,5,4,4,3,3.862068966
src08_hrc17.avi               ,4,2,3,3,3,3,3,3,3,3,3,3,3,4,3,5,2,2,4,3,4,2,3,3,4,5,3,3,2,3.137931034
src08_hrc20.avi               ,3,2,2,2,2,2,3,1,3,2,1,2,1,3,2,3,3,2,2,2,1,3,2,2,3,2,2,3,2,2.172413793
src09_hrc00.avi               ,5,5,5,5,5,5,4,4,5,5,4,5,4,4,5,4,5,5,5,4,5,5,5,5,5,5,5,4,4,4.689655172
src09_hrc01.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
src09_hrc08.avi               ,3,1,2,1,2,2,2,1,2,2,1,1,1,2,2,1,2,1,2,1,1,1,2,2,3,2,1,2,1,1.620689655
