,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,MOS
src01_hrc00.avi               ,4,5,5,4,5,4,5,5,4,5,3,4,5,5,3,5,4,5,5,5,5,5,5,3,5,5,4,4.518518519
src01_hrc00.avi               ,4,4,5,5,3,4,5,5,5,5,5,4,3,4,3,5,4,5,4,5,5,5,5,3,5,5,5,4.444444444
src01_hrc01.avi               ,4,4,4,4,3,4,4,5,3,5,4,4,5,4,4,5,4,4,5,4,4,4,5,3,4,4,4,4.111111111
src01_hrc02.avi               ,3,4,4,4,3,3,3,4,3,4,5,3,4,3,4,5,4,4,4,4,4,4,4,3,4,4,3,3.740740741
src01_hrc03.avi               ,2,4,3,4,2,3,2,4,3,4,3,3,2,2,3,3,3,4,3,4,3,4,4,5,3,4,4,3.259259259
src01_hrc04.avi               ,3,3,2,2,2,2,3,3,3,4,3,3,2,2,3,2,2,4,3,4,3,3,3,4,3,2,2,2.777777778
src01_hrc05.avi               ,4,4,4,4,3,5,4,5,4,5,4,5,3,5,3,5,4,4,4,4,4,4,5,3,4,5,4,4.148148148
src01_hrc06.avi               ,3,3,4,4,3,3,2,4,3,4,4,4,4,3,3,3,2,4,4,4,4,3,4,4,4,4,4,3.518518519
src01_hrc07.avi               ,2,3,2,3,2,3,1,2,3,3,2,3,2,2,2,2,2,3,2,3,3,2,3,3,3,3,3,2.481481481
src01_hrc08.avi               ,3,3,2,3,2,2,3,1,2,2,3,2,2,1,2,2,1,3,2,3,3,2,2,3,2,2,2,2.222222222
src01_hrc09.avi               ,4,3,4,4,4,4,3,5,5,5,4,4,5,4,3,4,4,4,3,4,4,4,5,5,4,5,4,4.111111111
src01_hrc10.avi               ,3,4,3,5,3,3,4,4,4,3,4,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,3.777777778
src01_hrc11.avi               ,3,3,2,3,1,2,1,2,3,3,2,2,2,2,2,2,2,3,2,3,2,3,3,2,3,2,3,2.333333333
src01_hrc12.avi               ,1,2,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,4,2,2,1,2,1,1.555555556
src01_hrc13.avi               ,4,4,4,5,4,4,5,5,5,5,5,4,4,5,4,5,4,4,4,5,5,4,5,4,5,5,4,4.481481481
src01_hrc14.avi               ,4,4,3,4,3,4,3,3,3,4,4,3,4,3,3,4,4,4,4,4,4,4,4,5,3,3,3,3.62962963
src01_hrc15.avi               ,2,3,2,3,2,2,1,2,3,2,2,3,2,1,2,2,1,3,2,3,2,2,2,2,3,2,2,2.148148148
src01_hrc16.avi               ,2,2,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,3,2,2,2,1.518518519
src01_hrc17.avi               ,3,3,2,3,2,3,2,2,2,4,3,3,2,2,2,3,2,4,5,4,3,3,3,4,3,3,3,2.888888889
src01_hrc18.avi               ,3,2,2,3,2,3,2,3,2,3,3,2,2,2,2,2,2,3,2,3,3,2,2,2,3,3,2,2.407407407
src01_hrc19.avi               ,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,1.407407407
src01_hrc20.avi               ,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.037037037
src01_hrc21.avi               ,4,4,4,5,3,4,5,5,4,5,5,4,4,5,3,4,4,5,5,4,4,4,5,5,4,5,4,4.333333333
src01_hrc22.avi               ,4,3,4,4,3,3,4,4,5,4,5,4,3,3,3,4,3,5,4,4,3,3,3,3,4,3,4,3.666666667
src01_hrc22.avi               ,4,4,4,4,2,3,4,3,4,4,4,4,4,4,3,3,4,4,3,4,3,4,4,4,4,4,4,3.703703704
src01_hrc23.avi               ,2,3,2,3,1,2,1,2,3,3,2,2,2,2,2,2,2,4,3,2,3,3,4,3,3,2,2,2.407407407
src01_hrc23.avi               ,3,3,2,3,2,2,1,2,3,2,2,3,1,2,2,2,2,4,2,3,2,3,2,3,3,2,2,2.333333333
src01_hrc24.avi               ,1,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1.37037037
src01_hrc28.avi               ,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1.111111111
src01_hrc29.avi               ,2,2,2,2,1,2,1,1,2,3,2,2,1,1,2,1,1,1,1,2,2,2,3,3,2,2,2,1.777777778
src02_hrc00.avi               ,5,5,5,4,5,5,4,5,5,5,5,4,5,5,3,5,5,5,5,5,4,5,5,4,4,5,4,4.666666667
src02_hrc00.avi               ,4,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,3,5,5,4,4.740740741
src02_hrc01.avi               ,4,5,5,5,4,4,5,5,5,4,4,5,5,2,4,5,4,4,5,5,5,5,4,4,4,5,4,4.444444444
src02_hrc02.avi               ,4,4,5,4,3,4,2,4,4,4,3,4,4,4,3,4,4,4,5,4,4,4,5,3,4,4,4,3.888888889
src02_hrc03.avi               ,3,4,4,4,3,3,4,3,3,4,3,4,4,2,3,3,3,4,4,4,4,3,3,4,3,4,3,3.444444444
src02_hrc04.avi               ,2,4,3,3,3,3,3,3,3,4,2,2,3,2,3,3,2,4,4,4,3,3,4,3,3,3,3,3.037037037
src02_hrc05.avi               ,4,5,5,4,4,4,3,5,3,5,4,4,4,4,4,5,5,4,4,5,5,5,4,4,4,4,5,4.296296296
src02_hrc06.avi               ,3,4,4,4,3,4,3,4,4,4,4,4,5,3,2,3,2,4,5,4,4,4,4,4,4,3,5,3.740740741
src02_hrc07.avi               ,2,3,2,3,1,2,2,2,2,3,3,3,2,2,2,2,3,3,1,3,3,4,3,5,2,2,2,2.481481481
src02_hrc08.avi               ,2,3,2,3,1,2,2,2,2,3,3,3,1,2,2,2,3,3,3,3,3,3,3,3,3,2,4,2.518518519
src02_hrc09.avi               ,5,5,5,4,5,4,5,4,5,5,4,5,5,4,4,4,5,4,5,5,4,5,4,5,4,4,3,4.481481481
src02_hrc10.avi               ,4,5,4,4,4,4,2,4,3,4,5,4,3,4,2,4,2,4,4,4,4,3,4,4,4,4,4,3.740740741
