,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,MOS
src01_hrc00.avi               ,3,4,4,4,5,5,4,4,5,4,3,4,5,5,3,2,4,5,5,5,4,5,4,4,5,4,5,4,5,4.24137931
src01_hrc01.avi               ,2,1,1,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1.310344828
src01_hrc02.avi               ,1,1,1,2,2,1,2,2,2,1,3,3,1,4,2,2,1,1,1,2,3,4,2,1,1,2,2,1,2,1.827586207
src01_hrc03.avi               ,2,2,3,3,2,2,2,2,3,2,2,3,1,2,3,1,1,3,4,1,2,1,2,1,2,2,1,2,3,2.068965517
src01_hrc04.avi               ,2,2,2,4,2,2,2,3,3,2,3,3,3,5,2,1,3,2,3,2,4,3,3,2,3,4,4,3,3,2.75862069
src01_hrc05.avi               ,3,1,1,2,1,1,1,1,1,1,2,3,1,2,2,1,2,2,1,2,2,1,2,1,2,2,1,1,2,1.551724138
src01_hrc06.avi               ,3,3,2,4,2,2,2,3,3,3,3,3,2,4,2,1,2,4,3,2,2,3,2,2,3,3,1,2,3,2.551724138
src01_hrc07.avi               ,2,2,1,2,2,3,2,2,2,3,4,3,1,5,2,2,2,2,3,2,3,1,2,1,2,2,2,2,3,2.24137931
src01_hrc08.avi               ,2,2,1,2,3,2,3,3,2,4,3,4,3,4,3,3,3,3,1,4,4,3,2,3,2,2,4,3,4,2.827586207
src01_hrc09.avi               ,2,1,1,3,4,2,2,3,3,1,3,2,1,2,3,3,2,2,3,2,2,3,2,2,3,4,3,3,3,2.413793103
src01_hrc10.avi               ,3,1,4,3,4,2,3,3,4,4,3,4,3,5,4,2,4,3,3,2,4,3,3,2,3,3,4,3,4,3.206896552
src01_hrc11.avi               ,3,4,2,2,3,2,2,3,3,4,3,2,2,4,4,2,4,4,4,3,4,2,2,2,2,3,3,4,3,2.931034483
src01_hrc12.avi               ,3,2,3,4,3,4,1,4,4,2,4,3,3,4,4,3,3,3,4,3,3,4,3,2,2,3,4,3,4,3.172413793
src01_hrc13.avi               ,3,2,3,3,3,4,2,3,4,4,4,4,2,4,4,3,3,3,3,3,4,3,3,4,3,3,4,4,4,3.310344828
src01_hrc14.avi               ,2,4,4,4,4,4,2,4,4,4,3,3,3,5,2,3,2,4,5,4,4,4,3,2,3,3,4,3,4,3.448275862
src02_hrc00.avi               ,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,3,5,5,5,5,4,4,4,5,5,5,4,5,4.724137931
src02_hrc01.avi               ,2,1,1,4,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.310344828
src02_hrc02.avi               ,1,1,1,2,1,1,1,2,2,3,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1.379310345
src02_hrc03.avi               ,2,1,3,3,2,3,5,2,3,5,4,3,2,3,3,3,1,4,3,1,3,4,1,2,3,4,2,2,3,2.75862069
src02_hrc04.avi               ,3,1,2,3,2,1,1,2,3,2,4,3,3,2,2,2,2,2,3,2,2,1,1,2,2,2,2,2,3,2.137931034
src02_hrc05.avi               ,1,2,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1,2,1,1,2,1,1,2,1.448275862
src02_hrc06.avi               ,3,3,3,4,3,3,3,3,4,5,4,4,3,2,2,5,4,4,3,3,3,2,2,3,3,4,4,2,3,3.24137931
src02_hrc07.avi               ,3,2,2,3,2,2,2,2,3,2,4,2,2,3,2,2,1,3,3,3,2,1,1,2,1,2,2,2,2,2.172413793
src02_hrc08.avi               ,3,2,1,2,2,2,2,2,2,2,2,3,1,3,2,1,2,2,4,1,3,2,2,2,1,2,2,2,3,2.068965517
src02_hrc09.avi               ,3,1,3,3,2,3,2,3,3,3,3,2,3,2,3,3,1,3,4,2,3,1,1,3,2,5,4,3,4,2.689655172
src02_hrc10.avi               ,3,1,3,4,2,1,3,2,2,2,4,3,2,3,3,2,1,3,3,2,3,5,2,2,2,3,2,4,3,2.586206897
src02_hrc11.avi               ,3,2,2,3,2,3,2,2,2,4,2,4,2,3,2,1,3,5,3,2,4,2,2,2,1,2,3,2,3,2.517241379
src02_hrc12.avi               ,3,5,4,4,4,4,3,3,4,4,4,3,4,3,4,5,4,4,5,3,4,3,3,3,4,4,5,3,3,3.75862069
src02_hrc13.avi               ,3,2,3,4,3,2,3,2,4,2,4,4,4,2,2,2,4,4,4,3,3,2,2,2,2,4,3,3,2,2.896551724
src02_hrc14.avi               ,5,3,3,5,4,4,4,2,5,3,5,4,4,4,3,4,5,5,4,5,3,2,3,4,5,5,4,3,4,3.931034483
src03_hrc00.avi               ,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4.896551724
src03_hrc01.avi               ,3,1,1,3,1,1,1,1,1,1,2,2,2,1,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1.379310345
src03_hrc02.avi               ,2,1,2,1,2,3,1,2,4,4,2,2,1,4,2,1,3,1,2,3,2,2,2,2,1,2,3,2,2,2.103448276
src03_hrc03.avi               ,3,2,4,2,4,2,1,2,4,5,3,4,2,5,4,2,2,5,2,3,2,4,2,3,2,3,3,4,3,3
src03_hrc04.avi               ,2,2,2,1,3,2,2,3,4,2,3,3,2,2,4,2,1,3,4,2,2,3,2,2,2,2,2,2,4,2.413793103
src03_hrc05.avi               ,2,2,2,2,2,3,1,3,4,2,3,2,2,3,1,1,1,2,2,3,3,2,2,2,2,2,2,2,3,2.172413793
src03_hrc06.avi               ,2,2,5,3,3,4,2,3,3,3,3,3,3,5,3,3,3,3,4,2,3,4,2,2,3,3,5,4,3,3.137931034
src03_hrc07.avi               ,3,2,2,2,4,2,1,3,4,3,3,2,3,4,2,1,1,2,4,2,3,4,2,2,4,4,2,3,3,2.655172414
src03_hrc08.avi               ,2,2,2,1,2,4,2,3,3,2,3,2,1,3,2,1,1,2,2,3,2,2,2,2,1,2,3,2,2,2.103448276
