,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,MOS
src01_hrc00.avi               ,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,4,5,4,5,5,5,4,5,4.785714286
src01_hrc00.avi               ,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,4,4,4,5,2,5,5,5,5,5,4.678571429
src01_hrc02.avi               ,3,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,2,3,2,1,1,2,1,1,1,2,2,1.5
src01_hrc04.avi               ,4,3,3,4,3,2,3,3,2,2,3,3,2,3,3,2,4,3,4,3,1,2,2,2,2,2,3,3,2.714285714
src01_hrc05.avi               ,4,2,4,2,3,3,3,3,2,4,3,2,3,2,4,2,2,3,4,2,2,3,2,4,3,3,2,4,2.857142857
src01_hrc06.avi               ,3,3,4,3,3,3,4,5,2,3,3,3,2,3,3,3,2,4,4,3,2,3,2,3,3,2,2,3,2.964285714
src01_hrc07.avi               ,4,3,4,3,3,4,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,2,3,2,3,4,2.928571429
src01_hrc08.avi               ,3,4,4,3,4,3,3,3,2,3,2,4,3,5,4,3,5,4,4,3,3,3,2,4,2,3,3,3,3.285714286
src01_hrc09.avi               ,4,3,3,3,3,3,3,3,2,4,3,2,2,2,2,3,3,2,4,3,2,3,2,4,3,3,2,3,2.821428571
src01_hrc10.avi               ,3,3,3,3,3,3,4,3,2,3,3,4,3,3,3,3,3,4,4,3,2,2,3,2,3,2,4,4,3.035714286
src01_hrc11.avi               ,4,2,3,2,2,2,3,2,1,3,2,1,1,2,2,2,2,1,4,3,1,2,2,2,1,2,2,2,2.071428571
src01_hrc12.avi               ,3,2,3,4,4,3,3,3,2,3,4,5,3,4,3,2,3,2,4,3,3,3,3,4,3,2,3,4,3.142857143
src01_hrc15.avi               ,4,3,4,4,3,3,3,4,2,3,3,3,3,4,3,4,2,4,3,3,2,2,2,3,2,3,3,4,3.071428571
src01_hrc16.avi               ,3,2,3,3,3,4,3,3,2,3,2,3,2,2,2,3,2,2,3,3,2,2,3,3,2,3,2,3,2.607142857
src01_hrc17.avi               ,4,4,4,4,4,4,3,4,2,3,3,3,3,3,4,5,3,2,4,3,3,3,2,2,3,3,3,4,3.285714286
src01_hrc18.avi               ,5,3,4,3,4,4,3,5,3,4,3,4,2,4,4,3,3,2,4,4,2,3,3,3,3,3,3,3,3.357142857
src01_hrc19.avi               ,4,3,4,4,4,4,2,4,2,3,5,3,3,3,4,3,2,4,3,3,2,3,3,4,3,5,3,3,3.321428571
src01_hrc20.avi               ,3,3,3,3,3,3,2,4,2,3,2,4,1,2,2,3,1,2,4,3,1,2,2,2,3,2,3,4,2.571428571
src01_hrc22.avi               ,3,3,5,4,3,4,3,4,3,4,4,4,3,3,3,4,2,4,4,4,3,3,4,4,3,3,3,3,3.464285714
src01_hrc23.avi               ,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,3.25
src01_hrc24.avi               ,3,4,3,4,4,5,4,3,3,5,4,5,3,5,4,4,5,4,4,3,3,4,3,5,4,4,3,5,3.928571429
src01_hrc25.avi               ,4,4,4,4,4,4,4,4,3,4,3,5,4,4,4,4,3,3,4,4,3,3,4,4,3,4,5,5,3.857142857
src01_hrc26.avi               ,4,5,4,4,4,5,4,5,2,4,4,4,3,4,3,3,5,4,4,5,3,4,2,3,4,5,3,2,3.785714286
src01_hrc27.avi               ,4,4,4,5,4,4,4,5,3,4,4,4,4,4,4,4,3,4,4,3,3,2,4,4,4,4,3,4,3.821428571
src01_hrc28.avi               ,3,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,5,4,4,3,3,3,5,4,4,4,4,3.75
src01_hrc29.avi               ,3,4,4,5,4,4,4,4,3,5,3,5,3,4,4,5,3,4,5,4,3,4,4,5,3,5,4,4,4
src01_hrc31.avi               ,4,4,4,4,5,5,5,3,4,5,5,5,4,5,5,5,5,5,5,5,4,4,4,5,5,4,3,5,4.5
src01_hrc31.avi               ,5,3,4,5,4,5,5,5,3,5,4,5,4,4,4,4,5,5,4,5,4,4,4,5,4,4,3,5,4.321428571
src01_hrc32.avi               ,3,2,4,3,5,3,2,4,2,3,3,3,3,3,2,3,4,4,4,4,3,3,3,4,4,2,3,3,3.178571429
src01_hrc32.avi               ,3,2,3,4,4,4,5,3,2,3,2,4,3,3,3,3,2,4,4,3,3,3,4,5,4,4,3,2,3.285714286
src01_hrc33.avi               ,2,2,3,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,4,1,1,2,2,3,2,2,2,3,1.75
src01_hrc37.avi               ,3,2,3,3,4,2,3,3,1,3,3,3,4,3,4,3,4,2,4,3,3,3,3,4,4,4,3,4,3.142857143
src01_hrc38.avi               ,4,4,4,5,5,5,4,5,3,5,4,4,3,4,5,5,5,3,4,5,4,4,3,5,4,4,4,5,4.25
src01_hrc39.avi               ,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.107142857
src01_hrc40.avi               ,2,1,3,2,3,2,1,2,1,2,2,3,2,2,2,2,1,2,1,2,1,2,2,3,2,1,2,3,1.928571429
src01_hrc41.avi               ,3,5,4,4,5,5,5,5,3,4,4,5,3,5,5,4,4,5,5,5,4,4,4,4,4,4,5,4,4.321428571
src02_hrc00.avi               ,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,4,3,5,3,5,5,4.678571429
src02_hrc00.avi               ,5,4,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4.714285714
src02_hrc02.avi               ,4,4,2,2,2,2,2,2,1,2,2,5,1,1,2,3,2,1,4,3,1,2,1,1,1,1,2,3,2.107142857
src02_hrc04.avi               ,5,2,4,2,3,3,4,3,2,3,4,3,2,2,2,2,4,4,4,3,2,4,3,4,3,3,3,3,3.071428571
src02_hrc05.avi               ,3,3,3,3,3,3,4,2,2,2,4,4,3,3,2,3,2,3,4,3,3,3,4,5,3,2,3,3,3.035714286
src02_hrc06.avi               ,4,3,4,3,3,3,3,4,2,3,3,5,2,3,3,3,2,3,4,3,2,3,3,4,3,4,3,4,3.178571429
src02_hrc07.avi               ,4,3,3,4,3,4,4,4,3,3,2,4,2,3,3,2,2,4,4,4,2,3,2,3,3,3,3,4,3.142857143
src02_hrc08.avi               ,4,3,3,5,4,4,4,2,2,3,2,4,3,4,4,4,3,4,4,4,3,3,4,3,4,4,4,4,3.535714286
src02_hrc09.avi               ,4,3,3,3,3,3,4,3,2,3,2,3,2,3,3,3,3,5,3,3,3,2,3,1,2,3,2,4,2.892857143
src02_hrc10.avi               ,3,3,4,4,4,3,4,4,2,4,3,4,3,4,2,3,5,3,4,3,2,3,3,5,3,3,3,4,3.392857143
src02_hrc11.avi               ,5,3,3,2,2,2,2,3,2,2,3,1,2,2,2,2,1,4,3,2,1,2,2,4,2,2,2,2,2.321428571
src02_hrc12.avi               ,4,4,4,4,4,4,3,4,3,3,3,4,2,3,4,4,3,3,4,3,1,3,4,2,3,3,3,4,3.321428571
src02_hrc15.avi               ,3,3,2,4,3,3,3,2,3,3,3,4,2,3,4,3,3,2,4,3,2,2,2,3,3,3,3,3,2.892857143
src02_hrc16.avi               ,3,2,4,2,3,2,3,3,2,3,3,3,3,3,3,4,2,3,4,2,2,3,2,2,3,4,3,3,2.821428571
src02_hrc17.avi               ,4,4,4,4,3,4,3,4,3,3,4,4,3,3,5,4,3,3,4,4,3,3,3,4,3,4,3,3,3.535714286
src02_hrc18.avi               ,4,4,4,3,4,4,3,4,2,4,4,3,3,4,3,4,3,3,4,4,2,3,3,3,3,4,2,3,3.357142857
src02_hrc19.avi               ,3,3,4,4,5,4,4,4,3,3,3,5,3,4,3,3,3,3,4,3,1,3,3,3,3,3,4,3,3.357142857
src02_hrc20.avi               ,4,3,4,3,3,3,3,2,2,3,2,2,3,3,4,3,2,2,3,2,2,3,2,2,2,3,2,3,2.678571429
src02_hrc22.avi               ,5,4,4,5,4,4,5,3,3,4,3,4,3,3,4,4,2,4,4,3,3,3,3,4,4,4,4,4,3.714285714
src02_hrc23.avi               ,4,3,4,4,4,4,3,4,3,3,3,5,3,4,4,4,2,3,4,3,2,3,2,3,3,4,3,5,3.428571429
src02_hrc24.avi               ,4,4,4,5,4,5,4,5,3,4,5,4,4,4,4,4,5,4,4,4,3,4,3,3,4,4,4,4,4.035714286
src02_hrc25.avi               ,4,4,5,4,5,4,4,4,4,4,4,4,3,4,3,4,4,5,4,3,3,4,4,5,4,3,4,4,3.964285714
src02_hrc26.avi               ,5,4,4,4,5,5,4,5,3,4,5,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,5,4,4.107142857
src02_hrc27.avi               ,3,4,3,4,4,4,4,5,4,3,4,3,3,4,4,4,4,4,4,5,3,4,3,3,4,3,4,2,3.678571429
