,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,MOS
src01_hrc00,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,4,4,5,5,5,4,5,4,5,4,5,4.62962963
src02_hrc00,5,5,5,5,4,5,5,4,5,5,4,4,4,5,5,4,5,4,5,4,5,5,3,5,5,5,5,4.62962963
src03_hrc00,5,4,5,3,5,5,4,4,4,4,4,4,3,5,4,3,4,5,4,5,5,4,3,5,5,5,4,4.259259259
src04_hrc00,5,5,5,5,3,5,5,5,3,4,3,5,3,5,5,5,4,4,4,4,4,4,3,4,5,4,5,4.296296296
src05_hrc00,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4.814814815
src06_hrc00,5,4,5,5,4,5,5,4,5,4,5,5,5,3,5,5,5,5,4,5,5,4,3,5,5,5,4,4.592592593
src07_hrc00,4,2,4,3,4,4,3,2,4,4,4,3,3,3,4,4,4,2,4,4,4,4,4,5,4,4,4,3.62962963
src08_hrc00,5,5,5,3,4,5,5,5,4,5,5,5,4,5,4,4,5,3,5,4,5,4,2,5,5,5,4,4.444444444
src09_hrc00,5,5,4,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4.777777778
src10_hrc00,5,4,3,4,4,4,4,3,5,3,4,3,2,5,3,4,4,4,4,4,5,3,2,5,5,5,5,3.925925926
src01_hrc01,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4.888888889
src02_hrc01,5,4,5,5,3,4,5,5,5,4,5,5,4,4,5,4,5,4,5,4,5,4,4,5,5,5,5,4.555555556
src03_hrc01,5,3,4,4,4,5,5,4,4,4,5,4,3,4,4,5,4,5,5,4,5,4,3,5,5,3,4,4.222222222
src04_hrc01,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,3,5,4,5,4,4,4,5,5,5,5,4.592592593
src05_hrc01,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,4.814814815
src06_hrc01,5,5,5,2,4,5,5,5,4,5,5,5,5,5,5,4,5,5,4,5,5,4,3,5,5,5,5,4.62962963
src07_hrc01,5,2,4,3,4,4,4,2,3,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3.666666667
