,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
SRC01_HRC00.avi,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4.8
SRC01_HRC01.avi,3,3,3,3,2,2,2,2,2,3,2,2,2,4,3,3,2,1,2,3,1,2,3,2,4,3,3,4,1,2,2.466666667
SRC01_HRC02.avi,4,4,5,4,3,3,4,4,1,4,4,4,4,4,4,3,4,4,4,4,3,4,4,5,4,4,4,4,4,3,3.8
SRC01_HRC03.avi,2,3,3,2,2,1,2,1,1,1,2,2,2,2,3,2,1,1,1,2,1,1,2,2,1,2,2,3,1,1,1.733333333
SRC01_HRC04.avi,4,3,4,4,3,2,4,4,1,4,4,4,3,3,3,3,3,3,4,4,3,4,4,2,3,4,3,4,3,2,3.3
SRC02_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC02_HRC01.avi,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,3,5,4,4,5,4,4,5,4,4,4.166666667
SRC02_HRC02.avi,2,3,1,2,3,1,2,2,3,4,3,2,2,3,3,4,2,2,1,3,1,3,2,2,2,3,3,4,1,1,2.333333333
SRC02_HRC03.avi,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,3,3,4
SRC02_HRC04.avi,1,2,1,2,2,1,2,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,1.4
SRC03_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC03_HRC01.avi,3,3,2,2,2,2,2,1,4,2,2,2,2,2,3,2,2,1,1,2,1,3,2,4,1,2,3,3,1,1,2.1
SRC03_HRC02.avi,4,4,4,2,3,3,3,3,4,4,3,3,3,4,4,3,4,2,3,4,2,4,3,4,4,3,3,4,3,3,3.333333333
SRC03_HRC03.avi,1,2,1,2,2,1,1,1,3,3,2,1,1,1,2,1,1,1,1,1,1,2,1,4,1,1,2,3,1,1,1.533333333
SRC03_HRC04.avi,4,4,4,3,2,2,4,2,3,4,3,2,3,2,4,3,4,2,4,4,2,4,4,2,3,4,3,4,2,3,3.133333333
SRC04_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC04_HRC01.avi,3,3,1,3,3,2,2,2,3,3,3,3,2,2,3,3,2,2,2,3,1,2,2,2,2,2,3,3,2,1,2.333333333
SRC04_HRC02.avi,4,4,4,5,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,5,3,4,4,4,4,4,4,4,4,3,3.9
SRC04_HRC03.avi,2,3,1,3,3,2,2,2,2,3,3,2,1,2,3,1,2,1,1,2,1,2,1,1,2,2,2,3,1,1,1.9
SRC04_HRC04.avi,4,4,4,4,3,4,5,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,3.833333333
SRC05_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SRC05_HRC01.avi,3,3,2,2,3,1,2,2,4,4,3,3,2,4,3,2,3,2,1,3,2,3,2,3,3,3,3,3,3,1,2.6
SRC05_HRC02.avi,4,4,4,4,3,3,4,3,4,4,3,4,4,3,4,4,4,3,4,4,2,4,4,4,3,3,3,4,3,4,3.6
SRC05_HRC03.avi,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1,2,3,2,2,3,1,1,1.766666667
SRC05_HRC04.avi,4,4,4,4,3,3,4,3,5,4,3,3,4,3,4,4,4,3,4,4,2,4,4,5,4,4,3,4,4,3,3.7
SRC06_HRC00.avi,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4.966666667
