,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,MOS
captain_250_SD_420_4Mbs_openIDR_p,5,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,4,4,5,5,5,3,5,4,5,4.64
captain_250_SD_420_4Mbs_openIDR_p_I5_around_RoI,4,1,4,2,2,3,2,1,2,2,2,2,1,2,3,3,2,1,1,3,2,1,2,2,3,2.12
captain_250_SD_420_4Mbs_openIDR_p_I5_RoI,2,2,3,2,2,2,2,2,2,3,3,1,1,2,3,2,1,1,2,2,1,1,2,2,4,2
captain_250_SD_420_fmo_inter,4,5,4,4,5,5,5,5,4,5,4,5,4,4,5,5,4,4,4,5,5,5,5,3,5,4.52
captain_250_SD_420_fmo_inter_I5_around_RoI,2,2,3,2,1,2,3,2,2,3,3,2,1,3,3,2,1,1,2,3,1,1,1,2,4,2.08
captain_250_SD_420_fmo_inter_I5_RoI,2,1,4,1,1,1,2,2,2,2,2,2,1,2,3,2,1,1,1,4,1,1,1,2,4,1.84
captain_250_SD_420_fmo_intra,5,5,5,4,5,5,4,5,4,3,5,5,4,4,5,5,5,3,4,4,5,3,5,5,5,4.48
captain_250_SD_420_fmo_intra_I4-5-6_around_RoI,1,1,4,1,1,3,1,1,2,3,1,2,1,3,2,1,1,1,1,2,1,1,1,1,2,1.56
captain_250_SD_420_fmo_intra_I4-5-6_RoI,4,2,4,2,2,3,3,3,3,3,2,3,2,2,2,3,2,2,1,3,2,2,3,2,3,2.52
captain_250_SD_420_fmo_intra_I5_around_RoI,2,2,4,2,2,3,3,1,2,3,2,2,2,3,2,2,1,1,2,3,1,1,1,2,3,2.08
captain_250_SD_420_fmo_intra_I5_RoI,3,2,4,3,3,4,4,3,4,4,4,4,3,4,4,5,2,3,3,5,4,3,4,4,4,3.6
captain_250_SD_420_fmo_noIntra_noInter,5,4,5,5,5,3,4,5,4,5,4,5,4,4,5,5,5,5,4,4,5,5,4,5,5,4.56
captain_250_SD_420_fmo_noIntra_noInter_I5_around_RoI,2,1,3,2,1,2,2,2,2,3,3,2,1,3,3,2,1,1,2,3,1,1,3,3,4,2.12
captain_250_SD_420_fmo_noIntra_noInter_I5_RoI,1,1,3,1,1,3,2,2,2,2,2,1,1,2,3,3,1,1,2,3,1,1,2,1,3,1.8
group_disorder_250_SD_420_6Mbs_openIDR_p,2,4,5,5,4,2,3,5,4,3,4,5,4,3,5,3,3,2,5,3,1,4,5,3,4,3.64
group_disorder_250_SD_420_6Mbs_openIDR_p_I6_around_RoI,1,2,4,3,2,2,3,3,2,4,3,3,2,3,4,3,2,1,2,4,1,2,3,2,4,2.6
group_disorder_250_SD_420_6Mbs_openIDR_p_I6_RoI,2,2,4,3,3,3,3,3,2,3,4,2,3,3,3,2,1,1,2,3,2,2,3,2,4,2.6
group_disorder_250_SD_420_fmo_inter,3,4,3,4,5,4,4,4,4,2,3,5,3,4,5,3,2,2,4,3,2,4,4,3,4,3.52
group_disorder_250_SD_420_fmo_inter_I6_around_RoI,3,2,3,3,3,3,3,2,3,2,3,4,2,3,4,2,2,2,3,3,2,2,3,2,4,2.72
group_disorder_250_SD_420_fmo_inter_I6_RoI,1,3,4,2,3,2,3,2,5,3,3,2,2,2,3,2,1,1,2,4,1,1,2,2,3,2.36
group_disorder_250_SD_420_fmo_intra,2,3,4,4,3,3,4,5,5,4,4,4,4,4,5,3,3,2,5,5,2,5,5,3,4,3.8
group_disorder_250_SD_420_fmo_intra_I4-5-6_around_RoI,1,1,3,2,1,2,1,2,2,1,2,2,1,3,2,1,1,1,2,2,1,1,1,2,2,1.6
group_disorder_250_SD_420_fmo_intra_I4-5-6_RoI,3,3,3,3,2,3,3,3,4,4,2,3,2,3,4,3,2,2,3,2,1,2,3,2,3,2.72
group_disorder_250_SD_420_fmo_intra_I6_around_RoI,2,3,4,3,3,4,3,2,3,3,4,3,2,3,4,3,2,2,3,4,1,1,2,3,3,2.8
group_disorder_250_SD_420_fmo_intra_I6_RoI,3,2,4,3,3,3,3,4,3,2,3,3,3,3,4,3,3,1,4,4,2,4,4,3,4,3.12
group_disorder_250_SD_420_fmo_noIntra_noInter,1,4,4,5,4,2,5,5,5,4,4,5,4,4,5,4,3,3,5,3,2,2,5,4,4,3.84
group_disorder_250_SD_420_fmo_noIntra_noInter_I6_around_RoI,3,2,4,3,2,4,2,3,3,3,2,3,3,3,4,3,3,1,4,4,1,4,3,2,3,2.88
group_disorder_250_SD_420_fmo_noIntra_noInter_I6_RoI,1,3,3,2,2,3,2,2,3,4,3,2,2,2,3,2,1,2,2,3,1,1,3,2,4,2.32
src3_ref__625_220_420_4Mbs_openIDR_p,4,5,4,5,5,5,5,5,5,5,4,5,4,4,5,3,5,4,5,4,5,5,5,5,5,4.64
src3_ref__625_220_420_4Mbs_openIDR_p_I5_around_RoI,5,2,4,2,1,2,3,2,2,3,3,2,2,3,3,2,1,2,1,4,2,1,3,2,3,2.4
src3_ref__625_220_420_4Mbs_openIDR_p_I5_RoI,2,2,4,2,3,3,2,3,3,3,2,2,2,3,4,2,3,2,2,4,2,2,3,2,4,2.64
src3_ref__625_220_420_fmo_inter,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,2,5,4,5,5,5,4,5,5,5,4.68
src3_ref__625_220_420_fmo_inter_I5_around_RoI,2,2,4,2,2,3,3,2,2,3,2,3,2,3,4,3,2,1,3,3,2,3,2,2,4,2.56
src3_ref__625_220_420_fmo_inter_I5_RoI,2,1,4,2,1,2,2,2,2,2,2,2,1,3,3,2,1,1,2,3,1,1,1,1,3,1.88
src3_ref__625_220_420_fmo_intra,4,4,5,4,5,5,5,4,5,4,5,5,4,4,5,4,5,5,4,4,4,5,5,5,5,4.56
src3_ref__625_220_420_fmo_intra_I4-5-6_around_RoI,1,1,4,1,1,2,1,1,2,2,1,2,1,3,2,2,1,1,3,3,1,1,1,1,2,1.64
src3_ref__625_220_420_fmo_intra_I4-5-6_RoI,2,2,4,2,1,4,2,3,2,3,1,2,1,3,2,3,2,2,1,3,1,1,2,2,3,2.16
src3_ref__625_220_420_fmo_intra_I5_around_RoI,4,2,4,2,2,3,3,2,2,3,3,2,2,2,3,3,2,3,2,3,2,1,2,2,4,2.52
src3_ref__625_220_420_fmo_intra_I5_RoI,2,3,4,3,2,3,3,5,3,3,3,3,2,3,4,5,2,2,3,3,2,1,3,3,4,2.96
src3_ref__625_220_420_fmo_noIntra_noInter,5,5,4,5,5,3,4,5,5,5,5,5,5,4,5,5,5,5,4,4,5,4,5,5,5,4.68
src3_ref__625_220_420_fmo_noIntra_noInter_I5_around_RoI,3,2,4,2,2,3,3,3,2,3,2,4,1,3,4,3,2,2,3,3,2,1,2,2,4,2.6
src3_ref__625_220_420_fmo_noIntra_noInter_I5_RoI,2,1,4,2,1,2,1,2,2,2,2,1,1,3,4,2,1,1,2,3,1,4,2,2,4,2.08
src5_ref__625_220_420_6Mbs_openIDR_p,4,5,4,4,5,5,4,5,5,5,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,4.52
src5_ref__625_220_420_6Mbs_openIDR_p_I5_around_RoI,5,2,4,3,2,3,3,5,2,4,3,2,2,3,3,3,3,2,3,3,3,2,3,2,4,2.96
src5_ref__625_220_420_6Mbs_openIDR_p_I5_RoI,4,3,3,2,2,4,3,3,3,3,3,3,2,3,4,2,2,2,3,4,1,1,3,4,3,2.8
src5_ref__625_220_420_fmo_inter,5,5,4,4,5,5,5,4,5,4,5,5,4,4,5,4,5,5,4,5,5,4,4,4,5,4.56
src5_ref__625_220_420_fmo_inter_I5_around_RoI,2,2,4,3,2,3,3,2,2,3,3,3,2,3,3,4,2,2,2,3,2,1,3,3,4,2.64
src5_ref__625_220_420_fmo_inter_I5_RoI,2,1,3,1,1,2,4,2,3,3,2,2,1,3,3,2,2,1,1,3,1,1,2,1,3,2
src5_ref__625_220_420_fmo_intra,5,5,5,4,5,5,4,5,4,5,4,5,4,4,5,5,4,4,3,4,4,5,5,4,5,4.48
src5_ref__625_220_420_fmo_intra_I4-5-6_around_RoI,2,2,3,2,1,3,1,1,2,3,2,2,2,2,2,1,1,1,3,3,1,1,1,2,3,1.88
src5_ref__625_220_420_fmo_intra_I4-5-6_RoI,3,1,3,3,3,3,2,3,3,3,3,3,2,3,3,2,2,2,3,3,2,1,3,3,4,2.64
src5_ref__625_220_420_fmo_intra_I5_around_RoI,3,3,2,3,2,3,2,2,3,3,3,4,2,3,3,2,2,1,2,4,2,4,2,2,3,2.6
src5_ref__625_220_420_fmo_intra_I5_RoI,3,3,4,3,3,3,4,5,3,4,4,4,3,3,4,3,4,3,3,4,3,2,4,4,4,3.48
src5_ref__625_220_420_fmo_noIntra_noInter,5,5,5,5,5,4,4,5,4,4,4,5,4,4,5,2,5,4,4,5,5,4,5,4,5,4.44
src5_ref__625_220_420_fmo_noIntra_noInter_I5_around_RoI,2,2,4,3,1,4,3,1,3,3,4,3,2,3,3,3,2,1,3,4,3,1,1,3,3,2.6
src5_ref__625_220_420_fmo_noIntra_noInter_I5_RoI,2,1,4,2,2,2,2,3,3,2,2,2,1,3,2,3,2,1,2,3,1,1,3,2,3,2.16
src6_ref__625_220_420_6Mbs_openIDR_p,5,5,5,4,4,5,5,5,5,5,4,5,4,4,5,4,5,4,4,4,4,5,5,4,5,4.56
src6_ref__625_220_420_6Mbs_openIDR_p_I5_around_RoI,4,3,4,3,2,4,3,3,3,3,3,2,3,4,3,4,2,1,3,4,3,1,2,3,4,2.96
src6_ref__625_220_420_6Mbs_openIDR_p_I5_RoI,2,2,3,2,2,3,3,5,2,4,3,3,2,4,5,2,2,2,3,3,3,3,3,2,4,2.88
src6_ref__625_220_420_fmo_inter,5,5,5,5,4,3,4,5,5,5,5,5,4,4,5,4,4,5,4,4,5,4,5,4,5,4.52
src6_ref__625_220_420_fmo_inter_I5_around_RoI,2,3,4,2,2,3,4,2,2,3,2,2,2,3,3,3,1,1,3,2,4,1,2,3,4,2.52
src6_ref__625_220_420_fmo_inter_I5_RoI,2,2,4,2,2,3,3,5,3,3,3,3,2,3,4,2,2,1,2,4,2,2,4,4,4,2.84
src6_ref__625_220_420_fmo_intra,4,5,4,4,5,4,4,5,5,5,5,5,3,4,5,2,4,5,5,4,4,4,5,4,4,4.32
src6_ref__625_220_420_fmo_intra_I5-6-7_around_RoI,1,2,3,1,2,3,1,2,2,2,2,3,1,3,2,1,1,1,2,3,1,1,1,2,2,1.8
src6_ref__625_220_420_fmo_intra_I5-6-7_RoI,2,3,5,2,3,3,3,4,3,4,2,2,1,3,2,2,3,3,3,3,2,1,3,4,2,2.72
src6_ref__625_220_420_fmo_intra_I5_around_RoI,2,3,5,2,3,3,3,2,2,4,3,3,2,3,3,3,2,1,3,4,2,2,2,4,4,2.8
src6_ref__625_220_420_fmo_intra_I5_RoI,4,4,5,4,3,4,3,3,3,4,4,3,4,4,4,3,3,3,3,4,3,3,5,4,4,3.64
src6_ref__625_220_420_fmo_noIntra_noInter,4,4,4,4,4,5,3,5,5,5,4,5,4,4,5,4,4,3,3,4,5,3,4,4,5,4.16
src6_ref__625_220_420_fmo_noIntra_noInter_I5_around_RoI,2,4,4,2,2,4,3,5,3,3,4,2,2,3,3,4,4,2,3,4,3,3,2,2,4,3.08
src6_ref__625_220_420_fmo_noIntra_noInter_I5_RoI,2,2,4,2,2,3,2,3,2,3,2,3,2,2,3,2,1,2,1,3,2,1,2,2,3,2.24
src9_ref__625_220_420_7Mbs_openIDR_p,5,4,4,5,5,2,4,5,5,5,5,5,4,4,5,4,5,3,3,5,4,5,5,5,5,4.44
src9_ref__625_220_420_7Mbs_openIDR_p_I6_around_RoI,2,2,4,3,1,3,4,3,3,3,3,3,2,3,3,2,2,1,2,3,2,2,3,2,4,2.6
src9_ref__625_220_420_7Mbs_openIDR_p_I6_RoI,3,2,4,2,2,3,3,3,2,3,2,2,1,3,3,2,1,1,2,3,2,1,3,2,4,2.36
src9_ref__625_220_420_fmo_inter,5,4,5,3,4,4,5,5,5,4,4,5,4,4,5,5,5,4,4,4,5,2,5,4,5,4.36
src9_ref__625_220_420_fmo_inter_I6_around_RoI,3,2,4,2,2,3,2,2,2,4,2,3,2,3,3,3,2,1,2,3,2,1,1,2,4,2.4
src9_ref__625_220_420_fmo_inter_I6_RoI,3,2,4,3,1,4,3,2,3,5,3,4,1,4,4,3,2,2,3,4,2,1,3,3,3,2.88
src9_ref__625_220_420_fmo_intra,4,5,4,4,4,4,5,5,5,5,4,4,4,4,5,4,5,4,4,4,4,3,4,4,5,4.28
src9_ref__625_220_420_fmo_intra_I4-5-6_around_RoI,1,1,4,1,1,2,3,1,2,4,2,1,1,2,2,2,2,1,2,4,1,1,1,1,2,1.8
src9_ref__625_220_420_fmo_intra_I4-5-6_RoI,3,1,5,2,2,2,2,3,3,3,3,2,2,3,3,3,1,2,2,3,1,4,3,4,2,2.56
src9_ref__625_220_420_fmo_intra_I6_around_RoI,3,2,5,3,2,4,3,2,3,4,3,3,2,2,3,2,2,1,2,3,2,1,2,3,4,2.64
src9_ref__625_220_420_fmo_intra_I6_RoI,4,3,5,3,4,3,4,3,5,4,5,4,2,4,4,4,3,4,3,4,3,4,4,3,4,3.72
src9_ref__625_220_420_fmo_noIntra_noInter,5,5,3,4,5,4,4,5,5,5,4,5,4,4,5,4,4,4,4,5,5,4,5,4,5,4.44
src9_ref__625_220_420_fmo_noIntra_noInter_I6_around_RoI,2,2,3,2,2,2,2,2,2,3,2,3,1,3,3,3,2,1,2,3,4,1,2,2,4,2.32
src9_ref__625_220_420_fmo_noIntra_noInter_I6_RoI,2,3,3,2,2,4,3,3,2,3,4,3,1,3,3,3,1,2,2,3,3,1,3,2,4,2.6
