,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,MOS
src01_hrc00.avi,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,4.791666667
src01_hrc01.avi,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,4,5,4.791666667
src01_hrc02.avi,5,5,3,4,4,4,5,4,4,3,4,4,3,4,4,3,5,5,4,4,5,5,3,5,4.125
src01_hrc03.avi,3,3,1,3,3,3,3,2,3,1,3,2,3,3,3,3,2,3,2,2,3,1,2,3,2.5
src01_hrc04.avi,2,2,1,2,2,2,1,1,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1.416666667
src01_hrc05.avi,4,4,2,4,2,2,1,2,2,2,2,3,3,2,4,3,2,4,2,2,3,1,3,3,2.583333333
src01_hrc06.avi,2,2,1,2,1,1,1,2,1,2,2,1,2,1,3,2,1,2,1,1,2,1,2,1,1.541666667
src01_hrc07.avi,3,4,2,4,2,2,1,2,1,1,2,2,2,1,3,2,2,3,3,2,2,1,2,1,2.083333333
src01_hrc08.avi,2,4,2,4,2,1,1,2,1,2,2,2,2,1,4,5,1,3,1,2,1,1,2,1,2.041666667
src01_hrc09.avi,5,5,4,4,5,5,5,5,5,4,5,5,4,4,5,4,4,4,4,5,5,5,3,5,4.541666667
src01_hrc10.avi,3,3,2,3,2,3,2,3,3,1,2,2,2,3,3,3,3,3,1,2,3,2,1,2,2.375
src01_hrc11.avi,3,3,2,3,2,3,2,3,3,2,3,2,3,2,3,4,2,3,1,2,3,2,2,3,2.541666667
src01_hrc12.avi,4,5,4,5,4,5,5,4,5,3,4,4,3,3,4,4,4,4,5,5,4,4,3,4,4.125
src01_hrc13.avi,3,4,2,3,3,3,3,4,4,2,4,2,3,2,3,4,3,1,2,3,4,2,2,4,2.916666667
src01_hrc14.avi,3,4,2,3,2,3,2,2,3,1,3,2,2,1,3,3,2,3,1,2,2,2,1,3,2.291666667
src01_hrc15.avi,3,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1.333333333
src02_hrc00.avi,5,5,4,4,5,4,5,5,5,5,5,5,5,4,4,5,4,4,3,5,5,5,3,5,4.541666667
src02_hrc01.avi,4,5,4,5,4,4,5,5,5,4,5,5,4,5,4,5,5,4,4,4,5,5,3,5,4.5
src02_hrc02.avi,5,4,2,4,4,3,4,4,5,3,4,3,3,3,3,2,3,3,4,5,4,2,3,4,3.5
src02_hrc03.avi,3,2,2,3,2,2,1,1,3,3,3,2,2,3,3,2,2,2,1,2,4,2,1,4,2.291666667
src02_hrc04.avi,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.125
src02_hrc05.avi,3,3,2,5,2,3,1,3,2,2,5,2,3,2,4,4,3,2,2,2,3,2,3,2,2.708333333
src02_hrc06.avi,3,2,1,3,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1.333333333
src02_hrc07.avi,3,4,1,3,2,1,1,2,2,1,3,2,2,2,2,4,2,3,1,2,3,1,2,2,2.125
src02_hrc08.avi,3,4,1,3,2,1,1,3,1,2,3,2,2,1,3,3,1,2,1,2,3,1,2,1,2
src02_hrc09.avi,4,5,2,5,5,5,4,4,5,5,5,4,4,4,4,4,3,3,3,4,4,5,3,4,4.083333333
src02_hrc10.avi,3,3,2,2,2,3,2,4,4,2,2,2,2,2,2,3,2,2,1,2,2,1,1,2,2.208333333
src02_hrc11.avi,3,2,1,2,2,2,2,3,4,2,2,1,1,1,3,3,2,1,1,4,2,1,1,3,2.041666667
src02_hrc12.avi,5,4,2,4,4,4,4,4,1,4,4,4,3,3,4,4,4,3,3,5,4,5,2,4,3.666666667
src02_hrc13.avi,3,2,2,3,3,4,3,4,4,3,4,2,2,2,4,3,4,2,3,4,4,4,3,4,3.166666667
src02_hrc14.avi,3,3,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,5,4,2,2,4,2.166666667
src02_hrc15.avi,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1.208333333
src03_hrc00.avi,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4.791666667
src03_hrc01.avi,4,4,2,4,3,4,3,4,4,3,4,3,3,5,4,3,4,5,5,4,4,4,3,5,3.791666667
src03_hrc02.avi,3,2,2,3,2,3,2,3,4,2,3,3,3,3,2,3,2,3,2,4,4,3,2,2,2.708333333
src03_hrc03.avi,3,2,1,2,1,2,2,1,3,2,1,2,1,2,2,2,2,2,3,2,2,2,2,1,1.875
src03_hrc04.avi,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1.166666667
src03_hrc05.avi,3,4,2,4,2,3,1,3,3,2,3,2,2,3,3,3,4,3,3,2,3,3,3,3,2.791666667
src03_hrc06.avi,2,3,2,2,2,2,1,2,2,2,2,2,1,2,2,3,1,1,2,2,2,1,1,1,1.791666667
src03_hrc07.avi,3,3,2,4,2,2,2,2,2,2,3,3,2,2,3,3,3,3,2,2,4,1,2,2,2.458333333
src03_hrc08.avi,2,2,1,3,1,1,1,2,1,1,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1.541666667
src03_hrc09.avi,3,4,2,4,2,4,2,4,3,4,3,4,3,3,4,4,5,4,4,5,3,3,3,2,3.416666667
src03_hrc10.avi,2,2,1,4,1,1,2,2,4,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,1.75
src03_hrc11.avi,3,2,1,2,1,2,2,1,3,1,2,2,2,2,1,2,3,1,2,3,2,1,2,1,1.833333333
src03_hrc12.avi,4,4,2,4,3,5,3,4,4,3,4,5,3,3,4,4,5,4,4,5,4,5,3,3,3.833333333
src03_hrc13.avi,3,3,2,2,2,5,3,4,4,3,4,4,3,2,4,4,4,4,3,5,3,3,3,4,3.375
src03_hrc14.avi,3,2,1,1,1,4,1,2,3,3,3,2,2,1,1,4,2,2,1,4,3,2,1,4,2.208333333
src03_hrc15.avi,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1.333333333
src04_hrc00.avi,5,5,4,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,4.75
src04_hrc01.avi,5,4,4,4,4,5,5,4,4,5,5,5,4,5,5,5,5,4,4,5,5,5,3,5,4.541666667
src04_hrc02.avi,4,3,2,4,3,4,2,3,3,3,3,3,3,3,4,4,3,4,3,3,4,5,3,4,3.333333333
src04_hrc03.avi,3,2,1,3,2,2,2,2,3,2,3,1,2,2,2,3,1,3,1,2,2,2,1,2,2.041666667
src04_hrc04.avi,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.125
src04_hrc05.avi,3,2,2,4,2,2,2,2,2,2,3,3,3,1,3,4,2,3,2,1,3,1,3,3,2.416666667
src04_hrc06.avi,2,2,1,3,1,1,1,1,1,1,2,1,1,1,2,3,1,1,1,1,2,1,1,1,1.375
src04_hrc07.avi,2,3,2,3,1,1,1,2,2,1,3,2,2,1,2,3,1,3,2,1,3,1,3,2,1.958333333
src04_hrc08.avi,2,4,1,4,1,1,1,2,1,2,3,2,2,1,3,5,1,2,1,1,2,1,1,1,1.875
src04_hrc09.avi,4,3,4,5,4,5,5,4,5,4,5,5,4,4,5,5,5,4,3,5,5,5,4,5,4.458333333
src04_hrc10.avi,3,2,1,2,2,2,2,2,3,2,3,2,2,2,2,3,1,3,2,2,3,2,1,3,2.166666667
src04_hrc11.avi,2,2,1,3,2,3,2,2,3,1,2,2,2,1,3,2,1,3,1,2,2,1,1,3,1.958333333
src04_hrc12.avi,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4,5,4,4,4,4,4,5,4,4,4.041666667
src04_hrc13.avi,4,3,2,3,3,5,2,2,4,4,3,4,3,2,3,4,3,4,4,3,3,3,2,4,3.208333333
src04_hrc14.avi,2,2,3,2,2,3,2,2,3,2,2,2,2,2,3,3,3,3,2,1,3,2,2,2,2.291666667
src04_hrc15.avi,1,2,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,3,1,1,1,1,1,1,1.375
src05_hrc00.avi,5,5,4,5,4,4,5,4,5,5,4,4,4,4,5,4,5,3,2,4,4,5,3,4,4.208333333
src05_hrc01.avi,4,5,4,4,4,5,3,5,5,4,4,5,3,4,4,4,3,4,3,3,3,4,2,4,3.875
src05_hrc02.avi,4,3,2,4,3,4,3,3,3,3,4,3,2,3,4,3,3,3,2,3,3,2,2,4,3.041666667
src05_hrc03.avi,2,2,1,2,1,2,2,2,1,1,2,2,1,1,3,2,1,2,1,1,1,1,1,1,1.5
src05_hrc04.avi,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.041666667
src05_hrc05.avi,3,3,2,4,2,1,1,2,3,1,2,2,3,1,4,3,1,3,2,1,2,2,1,2,2.125
src05_hrc06.avi,2,3,1,2,1,2,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1.458333333
src05_hrc07.avi,3,3,2,3,1,1,1,2,2,2,3,2,2,1,2,2,1,2,1,1,2,3,1,1,1.833333333
src05_hrc08.avi,2,3,2,4,1,1,2,2,1,2,3,2,2,1,2,3,1,2,1,1,1,1,2,1,1.791666667
src05_hrc09.avi,4,4,3,4,3,4,4,4,3,4,3,4,3,3,4,3,5,3,2,2,3,5,2,5,3.5
src05_hrc10.avi,1,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1.25
src05_hrc11.avi,2,1,1,1,2,1,2,1,1,2,2,1,1,1,3,2,1,1,1,2,1,1,1,1,1.375
src05_hrc12.avi,3,4,2,3,3,5,3,3,4,4,3,3,3,3,3,3,5,2,3,3,2,3,1,3,3.083333333
src05_hrc13.avi,3,2,1,2,2,4,2,2,3,2,3,2,2,1,3,3,2,2,1,3,2,3,1,3,2.25
src05_hrc14.avi,2,2,1,1,1,2,2,1,2,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,1.5
src05_hrc15.avi,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1.25
src06_hrc00.avi,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,3,5,5,5,3,5,4.708333333
src06_hrc01.avi,4,5,3,4,4,5,4,4,5,4,5,5,3,4,4,5,5,5,4,4,4,5,4,5,4.333333333
src06_hrc02.avi,4,4,3,3,3,4,2,5,5,5,4,3,3,3,4,4,5,4,4,5,5,4,3,4,3.875
src06_hrc03.avi,3,3,2,2,2,3,2,3,3,1,3,2,2,2,4,4,3,4,2,4,2,2,1,2,2.541666667
src06_hrc04.avi,2,2,1,1,2,3,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1.583333333
src06_hrc05.avi,3,3,2,4,1,2,1,2,2,2,3,2,3,3,3,5,2,3,3,2,3,2,3,2,2.541666667
src06_hrc06.avi,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1.166666667
src06_hrc07.avi,2,2,1,2,1,1,1,2,1,2,3,2,2,1,2,2,1,3,1,2,2,1,2,1,1.666666667
src06_hrc08.avi,2,3,1,3,1,1,1,2,1,1,3,1,2,1,3,3,1,2,1,1,2,1,2,1,1.666666667
src06_hrc09.avi,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,4,5,3,3,5,4,5,4,5,3.916666667
src06_hrc10.avi,3,2,1,3,2,3,3,3,4,1,2,3,2,2,3,2,2,4,1,2,2,3,1,2,2.333333333
src06_hrc11.avi,3,3,2,2,2,3,2,2,3,1,2,3,2,2,3,3,2,3,1,2,3,3,2,2,2.333333333
src06_hrc12.avi,4,5,4,4,3,4,3,5,5,5,4,5,3,4,4,4,5,4,5,5,5,5,2,5,4.25
src06_hrc13.avi,4,4,2,3,3,5,3,4,5,3,4,4,2,3,3,3,5,4,4,4,5,4,3,4,3.666666667
src06_hrc14.avi,4,3,1,2,2,3,2,3,4,2,3,3,3,3,3,3,3,4,2,4,4,2,2,3,2.833333333
src06_hrc15.avi,3,2,1,3,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,4,1,3,2,1,1.916666667
src07_hrc00.avi,5,5,4,5,5,4,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,4.75
src07_hrc01.avi,5,4,4,5,4,3,5,5,5,5,5,4,3,4,5,5,4,4,3,5,5,5,3,5,4.375
src07_hrc02.avi,5,4,4,5,4,3,5,5,5,4,5,4,3,3,4,5,4,4,4,4,3,4,3,5,4.125
src07_hrc03.avi,3,3,2,3,2,4,2,3,4,3,3,3,2,1,3,3,4,3,4,4,2,3,2,4,2.916666667
src07_hrc04.avi,1,2,1,2,1,1,2,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1.291666667
src07_hrc05.avi,4,4,3,5,2,2,1,3,2,3,3,2,2,2,4,3,2,3,3,2,4,1,1,1,2.583333333
src07_hrc06.avi,2,2,1,3,1,1,1,2,1,1,2,1,1,1,2,3,1,1,1,1,2,1,1,1,1.416666667
src07_hrc07.avi,3,4,2,3,2,1,1,2,2,1,3,2,2,1,2,3,1,2,1,2,2,1,2,1,1.916666667
src07_hrc08.avi,2,4,2,3,1,2,1,2,2,1,2,2,2,1,3,4,1,3,1,1,4,1,2,1,2
src07_hrc09.avi,5,5,4,5,5,3,5,5,5,4,5,5,4,4,4,4,5,4,5,5,5,5,3,5,4.541666667
src07_hrc10.avi,3,4,2,3,3,3,3,3,4,2,3,3,2,3,3,2,3,3,2,3,4,2,2,4,2.875
src07_hrc11.avi,3,3,2,2,2,3,3,3,4,2,3,2,2,2,2,2,2,3,1,3,2,1,2,3,2.375
src07_hrc12.avi,4,5,3,5,3,4,5,4,5,4,5,5,3,3,4,4,4,4,5,5,3,4,2,5,4.083333333
