,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,MOS
Aix_QuantGeom_1_1_R,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.586206896551724
Aix_QuantGeom_2_1_R,2.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,5.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,2.5517241379310347
Aix_QuantGeom_3_1_R,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.2758620689655173
Aix_QuantGeom_4_1_R,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1379310344827587
Aix_QuantLAB_1_1_R,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.517241379310345
Aix_QuantLAB_2_1_R,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.344827586206897
Aix_QuantLAB_3_1_R,5.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.9310344827586206
Aix_QuantLAB_4_1_R,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.2758620689655173
Aix_SimpMesh_1_1_R,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.586206896551724
Aix_SimpMesh_2_1_R,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.241379310344827
Aix_SimpMesh_3_1_R,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0344827586206895
Aix_SimpMesh_4_1_R,4.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.7241379310344827
Aix_SimpVal_1_1_R,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.206896551724138
Aix_SimpVal_2_1_R,4.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.7241379310344827
Aix_SimpVal_3_1_R,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,1.0,3.0,5.0,2.0,2.0,2.896551724137931
Aix_SimpVal_4_1_R,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.896551724137931
Ari_QuantGeom_1_1_R,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.896551724137931
Ari_QuantGeom_2_1_R,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.8620689655172413
